tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,measurement_accuracy,calibration_date,next_calibration,iatf16949_compliant,measurement_type
"QC-BOD-001","Toyota Georgetown","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Cognex","CoordinateMeasuringMachine-9298","Body Shop - Quality Station 1","0.019mm","2025-08-09","2025-11-17","Yes","Force"
"QC-BOD-002","Toyota Georgetown","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Zeiss","CalibrationSystem-1041","Body Shop - Quality Station 2","0.092mm","2025-07-27","2026-01-20","Yes","Color"
"QC-BOD-003","Toyota Georgetown","Body Shop","Test Fixture","High","Test Fixture for Body Shop quality control","Mitutoyo","TestFixture-3276","Body Shop - Quality Station 3","0.043mm","2025-09-08","2025-11-03","Yes","Force"
"QC-BOD-004","Toyota Georgetown","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Cognex","TorqueWrench-3853","Body Shop - Quality Station 4","0.101mm","2025-08-31","2025-11-08","Yes","Surface Finish"
"QC-BOD-005","Toyota Georgetown","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Keyence","TorqueWrench-1519","Body Shop - Quality Station 5","0.047mm","2025-10-02","2026-01-02","Yes","Color"
"QC-BOD-006","Toyota Georgetown","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Hexagon","ForceGauge-6503","Body Shop - Quality Station 6","0.028mm","2025-09-05","2025-12-19","Yes","Surface Finish"
"QC-BOD-007","Toyota Georgetown","Body Shop","Vision System","High","Vision System for Body Shop quality control","Cognex","VisionSystem-9977","Body Shop - Quality Station 7","0.068mm","2025-09-12","2026-01-17","Yes","Dimensional"
"QC-BOD-008","Toyota Georgetown","Body Shop","Test Fixture","High","Test Fixture for Body Shop quality control","Zeiss","TestFixture-5915","Body Shop - Quality Station 8","0.024mm","2025-10-08","2025-12-29","Yes","Surface Finish"
"QC-BOD-009","Toyota Georgetown","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Zeiss","CoordinateMeasuringMachine-6910","Body Shop - Quality Station 9","0.036mm","2025-09-11","2025-10-29","No","Color"
"QC-BOD-010","Toyota Georgetown","Body Shop","Vision System","High","Vision System for Body Shop quality control","Mitutoyo","VisionSystem-2247","Body Shop - Quality Station 10","0.077mm","2025-10-05","2026-01-11","No","Color"
"QC-BOD-011","Toyota Georgetown","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Zeiss","ForceGauge-1756","Body Shop - Quality Station 11","0.064mm","2025-10-17","2025-12-17","No","Surface Finish"
"QC-BOD-012","Toyota Georgetown","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Zeiss","CalibrationSystem-2874","Body Shop - Quality Station 12","0.049mm","2025-10-13","2026-01-02","No","Color"
"QC-PAI-001","Toyota Georgetown","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Cognex","VisionSystem-2490","Paint Shop - Quality Station 1","0.062mm","2025-10-10","2026-01-02","Yes","Dimensional"
"QC-PAI-002","Toyota Georgetown","Paint Shop","Torque Wrench","High","Torque Wrench for Paint Shop quality control","Hexagon","TorqueWrench-3662","Paint Shop - Quality Station 2","0.075mm","2025-09-20","2025-11-03","Yes","Force"
"QC-PAI-003","Toyota Georgetown","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Zeiss","ForceGauge-7343","Paint Shop - Quality Station 3","0.039mm","2025-10-19","2025-12-07","No","Dimensional"
"QC-PAI-004","Toyota Georgetown","Paint Shop","Laser Scanner","High","Laser Scanner for Paint Shop quality control","Keyence","LaserScanner-1357","Paint Shop - Quality Station 4","0.091mm","2025-10-19","2025-11-03","Yes","Hardness"
"QC-PAI-005","Toyota Georgetown","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Keyence","ForceGauge-7046","Paint Shop - Quality Station 5","0.082mm","2025-09-29","2025-11-07","Yes","Color"
"QC-PAI-006","Toyota Georgetown","Paint Shop","Torque Wrench","High","Torque Wrench for Paint Shop quality control","Zeiss","TorqueWrench-7492","Paint Shop - Quality Station 6","0.078mm","2025-08-17","2025-12-30","Yes","Force"
"QC-PAI-007","Toyota Georgetown","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Hexagon","ForceGauge-4197","Paint Shop - Quality Station 7","0.091mm","2025-09-05","2025-11-30","No","Surface Finish"
"QC-PAI-008","Toyota Georgetown","Paint Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Paint Shop quality control","Hexagon","CoordinateMeasuringMachine-5136","Paint Shop - Quality Station 8","0.043mm","2025-09-21","2026-01-20","Yes","Force"
"QC-PAI-009","Toyota Georgetown","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Hexagon","VisionSystem-7914","Paint Shop - Quality Station 9","0.082mm","2025-09-05","2025-12-03","No","Hardness"
"QC-PAI-010","Toyota Georgetown","Paint Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Paint Shop quality control","Zeiss","CoordinateMeasuringMachine-2461","Paint Shop - Quality Station 10","0.019mm","2025-09-21","2025-12-04","Yes","Dimensional"
"QC-PAI-011","Toyota Georgetown","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Zeiss","CalibrationSystem-7942","Paint Shop - Quality Station 11","0.057mm","2025-07-31","2025-11-15","No","Color"
"QC-PAI-012","Toyota Georgetown","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Mitutoyo","VisionSystem-2068","Paint Shop - Quality Station 12","0.073mm","2025-09-22","2025-11-06","Yes","Force"
"QC-PAI-013","Toyota Georgetown","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Hexagon","VisionSystem-4692","Paint Shop - Quality Station 13","0.105mm","2025-10-01","2025-12-15","Yes","Hardness"
"QC-PAI-014","Toyota Georgetown","Paint Shop","Test Fixture","High","Test Fixture for Paint Shop quality control","Hexagon","TestFixture-1209","Paint Shop - Quality Station 14","0.067mm","2025-09-08","2025-12-05","Yes","Surface Finish"
"QC-ASS-001","Toyota Georgetown","Assembly Line","Force Gauge","High","Force Gauge for Assembly Line quality control","Zeiss","ForceGauge-5480","Assembly Line - Quality Station 1","0.030mm","2025-08-26","2026-01-09","No","Force"
"QC-ASS-002","Toyota Georgetown","Assembly Line","Torque Wrench","High","Torque Wrench for Assembly Line quality control","Cognex","TorqueWrench-2223","Assembly Line - Quality Station 2","0.100mm","2025-09-09","2026-01-01","Yes","Force"
"QC-ASS-003","Toyota Georgetown","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Keyence","CoordinateMeasuringMachine-2505","Assembly Line - Quality Station 3","0.056mm","2025-08-22","2025-11-20","No","Dimensional"
"QC-ASS-004","Toyota Georgetown","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Mitutoyo","CoordinateMeasuringMachine-4847","Assembly Line - Quality Station 4","0.023mm","2025-08-26","2025-11-14","Yes","Force"
"QC-ASS-005","Toyota Georgetown","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Mitutoyo","LaserScanner-9044","Assembly Line - Quality Station 5","0.063mm","2025-08-24","2025-11-12","Yes","Hardness"
"QC-ASS-006","Toyota Georgetown","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Hexagon","LaserScanner-7401","Assembly Line - Quality Station 6","0.025mm","2025-09-20","2025-12-23","Yes","Force"
"QC-ASS-007","Toyota Georgetown","Assembly Line","Vision System","High","Vision System for Assembly Line quality control","Hexagon","VisionSystem-1508","Assembly Line - Quality Station 7","0.086mm","2025-10-20","2025-11-11","Yes","Surface Finish"
"QC-ASS-008","Toyota Georgetown","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Zeiss","LaserScanner-5049","Assembly Line - Quality Station 8","0.089mm","2025-09-26","2025-11-30","Yes","Surface Finish"
"QC-ASS-009","Toyota Georgetown","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Mitutoyo","LaserScanner-2212","Assembly Line - Quality Station 9","0.056mm","2025-08-13","2025-11-21","No","Dimensional"
"QC-ASS-010","Toyota Georgetown","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Zeiss","CoordinateMeasuringMachine-8347","Assembly Line - Quality Station 10","0.024mm","2025-10-03","2026-01-20","Yes","Surface Finish"
"QC-ASS-011","Toyota Georgetown","Assembly Line","Calibration System","High","Calibration System for Assembly Line quality control","Mitutoyo","CalibrationSystem-7623","Assembly Line - Quality Station 11","0.071mm","2025-10-21","2025-11-14","Yes","Surface Finish"
"QC-ASS-012","Toyota Georgetown","Assembly Line","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Assembly Line quality control","Keyence","CoordinateMeasuringMachine-2904","Assembly Line - Quality Station 12","0.103mm","2025-08-23","2025-12-22","Yes","Dimensional"
"QC-ASS-013","Toyota Georgetown","Assembly Line","Laser Scanner","High","Laser Scanner for Assembly Line quality control","Keyence","LaserScanner-1642","Assembly Line - Quality Station 13","0.039mm","2025-08-02","2025-12-06","Yes","Color"
"QC-ASS-014","Toyota Georgetown","Assembly Line","Force Gauge","High","Force Gauge for Assembly Line quality control","Cognex","ForceGauge-2183","Assembly Line - Quality Station 14","0.021mm","2025-08-06","2025-11-16","Yes","Color"
"QC-POW-001","Toyota Georgetown","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Keyence","ForceGauge-9623","Powertrain - Quality Station 1","0.100mm","2025-09-26","2025-12-19","Yes","Hardness"
"QC-POW-002","Toyota Georgetown","Powertrain","Vision System","High","Vision System for Powertrain quality control","Keyence","VisionSystem-7344","Powertrain - Quality Station 2","0.034mm","2025-10-21","2025-11-02","No","Hardness"
"QC-POW-003","Toyota Georgetown","Powertrain","Test Fixture","High","Test Fixture for Powertrain quality control","Hexagon","TestFixture-4497","Powertrain - Quality Station 3","0.052mm","2025-09-25","2025-11-25","Yes","Dimensional"
"QC-POW-004","Toyota Georgetown","Powertrain","Test Fixture","High","Test Fixture for Powertrain quality control","Cognex","TestFixture-8516","Powertrain - Quality Station 4","0.064mm","2025-10-02","2026-01-19","No","Hardness"
"QC-POW-005","Toyota Georgetown","Powertrain","Force Gauge","High","Force Gauge for Powertrain quality control","Mitutoyo","ForceGauge-8929","Powertrain - Quality Station 5","0.095mm","2025-08-18","2025-11-07","No","Surface Finish"
"QC-POW-006","Toyota Georgetown","Powertrain","Vision System","High","Vision System for Powertrain quality control","Mitutoyo","VisionSystem-8134","Powertrain - Quality Station 6","0.049mm","2025-09-11","2025-11-20","Yes","Color"
"QC-POW-007","Toyota Georgetown","Powertrain","Torque Wrench","High","Torque Wrench for Powertrain quality control","Mitutoyo","TorqueWrench-5668","Powertrain - Quality Station 7","0.091mm","2025-10-22","2025-11-03","Yes","Hardness"
"QC-POW-008","Toyota Georgetown","Powertrain","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Powertrain quality control","Zeiss","CoordinateMeasuringMachine-2806","Powertrain - Quality Station 8","0.079mm","2025-09-02","2025-12-16","Yes","Hardness"
"QC-POW-009","Toyota Georgetown","Powertrain","Torque Wrench","High","Torque Wrench for Powertrain quality control","Mitutoyo","TorqueWrench-1513","Powertrain - Quality Station 9","0.017mm","2025-09-27","2026-01-19","Yes","Force"
"QC-POW-010","Toyota Georgetown","Powertrain","Calibration System","High","Calibration System for Powertrain quality control","Cognex","CalibrationSystem-6962","Powertrain - Quality Station 10","0.069mm","2025-08-09","2025-11-23","No","Force"
"QC-POW-011","Toyota Georgetown","Powertrain","Laser Scanner","High","Laser Scanner for Powertrain quality control","Mitutoyo","LaserScanner-8209","Powertrain - Quality Station 11","0.062mm","2025-10-09","2025-11-25","No","Dimensional"
"QC-QUA-001","Toyota Georgetown","Quality Control","Force Gauge","High","Force Gauge for Quality Control quality control","Mitutoyo","ForceGauge-2025","Quality Control - Quality Station 1","0.107mm","2025-08-13","2025-11-29","No","Force"
"QC-QUA-002","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control quality control","Keyence","VisionSystem-7444","Quality Control - Quality Station 2","0.013mm","2025-10-18","2025-11-02","Yes","Color"
"QC-QUA-003","Toyota Georgetown","Quality Control","Force Gauge","High","Force Gauge for Quality Control quality control","Keyence","ForceGauge-8601","Quality Control - Quality Station 3","0.053mm","2025-08-13","2025-11-02","Yes","Surface Finish"
"QC-QUA-004","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control quality control","Zeiss","VisionSystem-5760","Quality Control - Quality Station 4","0.031mm","2025-08-23","2025-12-29","Yes","Color"
"QC-QUA-005","Toyota Georgetown","Quality Control","Vision System","High","Vision System for Quality Control quality control","Hexagon","VisionSystem-6386","Quality Control - Quality Station 5","0.029mm","2025-09-30","2025-12-31","Yes","Force"
"QC-QUA-006","Toyota Georgetown","Quality Control","Force Gauge","High","Force Gauge for Quality Control quality control","Cognex","ForceGauge-2448","Quality Control - Quality Station 6","0.090mm","2025-10-09","2025-11-01","Yes","Hardness"
"QC-QUA-007","Toyota Georgetown","Quality Control","Test Fixture","High","Test Fixture for Quality Control quality control","Cognex","TestFixture-6335","Quality Control - Quality Station 7","0.108mm","2025-09-30","2025-11-05","No","Color"
"QC-STA-001","Toyota Georgetown","Stamping","Calibration System","High","Calibration System for Stamping quality control","Hexagon","CalibrationSystem-6453","Stamping - Quality Station 1","0.054mm","2025-09-05","2026-01-01","Yes","Surface Finish"
"QC-STA-002","Toyota Georgetown","Stamping","Force Gauge","High","Force Gauge for Stamping quality control","Hexagon","ForceGauge-3988","Stamping - Quality Station 2","0.039mm","2025-07-27","2026-01-20","Yes","Color"
"QC-STA-003","Toyota Georgetown","Stamping","Laser Scanner","High","Laser Scanner for Stamping quality control","Zeiss","LaserScanner-9798","Stamping - Quality Station 3","0.042mm","2025-09-23","2025-12-19","Yes","Force"
"QC-STA-004","Toyota Georgetown","Stamping","Vision System","High","Vision System for Stamping quality control","Mitutoyo","VisionSystem-7777","Stamping - Quality Station 4","0.049mm","2025-10-01","2025-10-28","Yes","Force"
"QC-STA-005","Toyota Georgetown","Stamping","Calibration System","High","Calibration System for Stamping quality control","Keyence","CalibrationSystem-7685","Stamping - Quality Station 5","0.062mm","2025-09-10","2026-01-09","Yes","Surface Finish"
"QC-STA-006","Toyota Georgetown","Stamping","Test Fixture","High","Test Fixture for Stamping quality control","Cognex","TestFixture-9107","Stamping - Quality Station 6","0.098mm","2025-08-23","2025-11-05","Yes","Hardness"
"QC-STA-007","Toyota Georgetown","Stamping","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Stamping quality control","Cognex","CoordinateMeasuringMachine-2570","Stamping - Quality Station 7","0.049mm","2025-07-29","2025-10-28","Yes","Surface Finish"
"QC-STA-008","Toyota Georgetown","Stamping","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Stamping quality control","Hexagon","CoordinateMeasuringMachine-6483","Stamping - Quality Station 8","0.106mm","2025-09-26","2025-12-03","Yes","Color"
"QC-STA-009","Toyota Georgetown","Stamping","Force Gauge","High","Force Gauge for Stamping quality control","Mitutoyo","ForceGauge-7906","Stamping - Quality Station 9","0.033mm","2025-10-01","2025-11-17","Yes","Color"
"QC-BOD-001","Honda Marysville","Body Shop","Vision System","High","Vision System for Body Shop quality control","Cognex","VisionSystem-1695","Body Shop - Quality Station 1","0.024mm","2025-09-30","2025-11-01","No","Hardness"
"QC-BOD-002","Honda Marysville","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Cognex","CoordinateMeasuringMachine-6786","Body Shop - Quality Station 2","0.028mm","2025-08-16","2025-12-27","No","Force"
"QC-BOD-003","Honda Marysville","Body Shop","Laser Scanner","High","Laser Scanner for Body Shop quality control","Zeiss","LaserScanner-5760","Body Shop - Quality Station 3","0.105mm","2025-08-31","2025-11-20","Yes","Surface Finish"
"QC-BOD-004","Honda Marysville","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Hexagon","CoordinateMeasuringMachine-2359","Body Shop - Quality Station 4","0.014mm","2025-08-16","2025-10-25","Yes","Surface Finish"
"QC-BOD-005","Honda Marysville","Body Shop","Test Fixture","High","Test Fixture for Body Shop quality control","Keyence","TestFixture-3201","Body Shop - Quality Station 5","0.078mm","2025-07-28","2025-11-07","Yes","Hardness"
"QC-BOD-006","Honda Marysville","Body Shop","Torque Wrench","High","Torque Wrench for Body Shop quality control","Zeiss","TorqueWrench-7068","Body Shop - Quality Station 6","0.076mm","2025-08-07","2025-12-02","Yes","Dimensional"
"QC-BOD-007","Honda Marysville","Body Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Body Shop quality control","Mitutoyo","CoordinateMeasuringMachine-5660","Body Shop - Quality Station 7","0.068mm","2025-10-17","2025-12-31","Yes","Hardness"
"QC-BOD-008","Honda Marysville","Body Shop","Calibration System","High","Calibration System for Body Shop quality control","Cognex","CalibrationSystem-7369","Body Shop - Quality Station 8","0.052mm","2025-10-03","2025-11-30","Yes","Force"
"QC-BOD-009","Honda Marysville","Body Shop","Force Gauge","High","Force Gauge for Body Shop quality control","Mitutoyo","ForceGauge-3381","Body Shop - Quality Station 9","0.037mm","2025-07-26","2025-12-16","Yes","Surface Finish"
"QC-BOD-010","Honda Marysville","Body Shop","Vision System","High","Vision System for Body Shop quality control","Keyence","VisionSystem-7697","Body Shop - Quality Station 10","0.089mm","2025-10-08","2025-10-31","Yes","Surface Finish"
"QC-PAI-001","Honda Marysville","Paint Shop","Laser Scanner","High","Laser Scanner for Paint Shop quality control","Hexagon","LaserScanner-1220","Paint Shop - Quality Station 1","0.069mm","2025-09-19","2025-11-06","Yes","Surface Finish"
"QC-PAI-002","Honda Marysville","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Cognex","CalibrationSystem-8280","Paint Shop - Quality Station 2","0.080mm","2025-09-30","2025-12-04","Yes","Color"
"QC-PAI-003","Honda Marysville","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Keyence","CalibrationSystem-2030","Paint Shop - Quality Station 3","0.028mm","2025-10-17","2025-11-11","Yes","Force"
"QC-PAI-004","Honda Marysville","Paint Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Paint Shop quality control","Hexagon","CoordinateMeasuringMachine-1332","Paint Shop - Quality Station 4","0.019mm","2025-09-02","2025-12-26","Yes","Color"
"QC-PAI-005","Honda Marysville","Paint Shop","Coordinate Measuring Machine","High","Coordinate Measuring Machine for Paint Shop quality control","Cognex","CoordinateMeasuringMachine-5046","Paint Shop - Quality Station 5","0.085mm","2025-08-07","2025-11-30","Yes","Color"
"QC-PAI-006","Honda Marysville","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Zeiss","ForceGauge-6238","Paint Shop - Quality Station 6","0.012mm","2025-09-30","2025-11-08","Yes","Surface Finish"
"QC-PAI-007","Honda Marysville","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Cognex","CalibrationSystem-4609","Paint Shop - Quality Station 7","0.029mm","2025-07-29","2025-12-24","Yes","Force"
"QC-PAI-008","Honda Marysville","Paint Shop","Vision System","High","Vision System for Paint Shop quality control","Keyence","VisionSystem-1338","Paint Shop - Quality Station 8","0.089mm","2025-08-31","2025-11-07","Yes","Force"
"QC-PAI-009","Honda Marysville","Paint Shop","Torque Wrench","High","Torque Wrench for Paint Shop quality control","Zeiss","TorqueWrench-5488","Paint Shop - Quality Station 9","0.033mm","2025-09-17","2025-11-22","No","Surface Finish"
"QC-PAI-010","Honda Marysville","Paint Shop","Calibration System","High","Calibration System for Paint Shop quality control","Zeiss","CalibrationSystem-3835","Paint Shop - Quality Station 10","0.102mm","2025-08-27","2025-11-19","Yes","Surface Finish"
"QC-PAI-011","Honda Marysville","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Zeiss","ForceGauge-7147","Paint Shop - Quality Station 11","0.103mm","2025-08-03","2025-12-17","Yes","Surface Finish"
"QC-PAI-012","Honda Marysville","Paint Shop","Force Gauge","High","Force Gauge for Paint Shop quality control","Keyence","ForceGauge-2498","Paint Shop - Quality Station 12","0.083mm","2025-07-28","2025-12-04","Yes","Dimensional"
"QC-ASS-001","Honda Marysville","Assembly Line","Torque Wrench","High","Torque Wrench for Assembly Line quality control","Keyence","TorqueWrench-7909","Assembly Line - Quality Station 1","0.048mm","2025-08-14","2025-11-13","Yes","Surface Finish"
"QC-ASS-002","Honda Marysville","Assembly Line","Test Fixture","High","Test Fixture for Assembly Line quality control","Keyence","TestFixture-6646","Assembly Line - Quality Station 2","0.036mm","2025-08-24","2025-12-14","Yes","Force"
"QC-ASS-003","Honda Marysville","Assembly Line","Force Gauge","High","Force Gauge for Assembly Line quality control","Hexagon","ForceGauge-8899","Assembly Line - Quality Station 3","0.094mm","2025-10-07","2025-11-10","No","Dimensional"
