tag_id,plant,unit,instrument_type,criticality,description,manufacturer,model,location,robot_controller,safety_system,programming_language,payload_capacity,reach,safety_rated,iso26262_level
"ROB-PAI-009","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","ABB","WeldingRobot-4801","Paint Shop - Robot Station 9","RC-PAI-9","Safety PLC","KRL","20kg","1409mm","No","ASIL-D"
"ROB-PAI-010","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Yaskawa","WeldingRobot-2828","Paint Shop - Robot Station 10","RC-PAI-10","Safety PLC","KRL","55kg","2231mm","Yes","ASIL-C"
"ROB-PAI-011","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Kawasaki","AssemblyRobot-1605","Paint Shop - Robot Station 11","RC-PAI-11","Safety PLC","KRL","39kg","2457mm","Yes","ASIL-C"
"ROB-PAI-012","Honda Marysville","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Yaskawa","PackagingRobot-1277","Paint Shop - Robot Station 12","RC-PAI-12","Safety PLC","RAPID","31kg","1686mm","No","ASIL-B"
"ROB-PAI-013","Honda Marysville","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Fanuc","WeldingRobot-7101","Paint Shop - Robot Station 13","RC-PAI-13","Safety PLC","KAREL","43kg","2513mm","Yes","ASIL-D"
"ROB-PAI-014","Honda Marysville","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Yaskawa","AssemblyRobot-9111","Paint Shop - Robot Station 14","RC-PAI-14","Safety PLC","KRL","48kg","1342mm","Yes","ASIL-C"
"ROB-ASS-001","Honda Marysville","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Yaskawa","MaterialHandlingRobot-3690","Assembly Line - Robot Station 1","RC-ASS-1","Safety PLC","Python","11kg","1353mm","Yes","ASIL-C"
"ROB-ASS-002","Honda Marysville","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Yaskawa","WeldingRobot-5029","Assembly Line - Robot Station 2","RC-ASS-2","Safety PLC","KRL","19kg","1873mm","No","ASIL-B"
"ROB-ASS-003","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","ABB","PaintRobot-6151","Assembly Line - Robot Station 3","RC-ASS-3","Safety PLC","RAPID","33kg","2479mm","No","ASIL-B"
"ROB-ASS-004","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","ABB","PaintRobot-5958","Assembly Line - Robot Station 4","RC-ASS-4","Safety PLC","Python","50kg","1671mm","Yes","ASIL-C"
"ROB-ASS-005","Honda Marysville","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","KUKA","MaterialHandlingRobot-2374","Assembly Line - Robot Station 5","RC-ASS-5","Safety PLC","KRL","23kg","1166mm","Yes","ASIL-C"
"ROB-ASS-006","Honda Marysville","Assembly Line","Quality Inspection Robot","Critical","Quality Inspection Robot for Assembly Line operations","Kawasaki","QualityInspectionRobot-8956","Assembly Line - Robot Station 6","RC-ASS-6","Safety PLC","Python","17kg","2072mm","Yes","ASIL-B"
"ROB-ASS-007","Honda Marysville","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-7035","Assembly Line - Robot Station 7","RC-ASS-7","Safety PLC","Python","13kg","1652mm","No","ASIL-D"
"ROB-ASS-008","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-7752","Assembly Line - Robot Station 8","RC-ASS-8","Safety PLC","KRL","12kg","2544mm","No","ASIL-D"
"ROB-ASS-009","Honda Marysville","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","ABB","MaterialHandlingRobot-9292","Assembly Line - Robot Station 9","RC-ASS-9","Safety PLC","Python","43kg","1592mm","No","ASIL-D"
"ROB-ASS-010","Honda Marysville","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-6567","Assembly Line - Robot Station 10","RC-ASS-10","Safety PLC","RAPID","35kg","1445mm","No","ASIL-C"
"ROB-ASS-011","Honda Marysville","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","KUKA","WeldingRobot-1800","Assembly Line - Robot Station 11","RC-ASS-11","Safety PLC","RAPID","21kg","1777mm","No","ASIL-C"
"ROB-BOD-001","Ford Dearborn","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","Fanuc","QualityInspectionRobot-7226","Body Shop - Robot Station 1","RC-BOD-1","Safety PLC","Python","39kg","2964mm","Yes","ASIL-B"
"ROB-BOD-002","Ford Dearborn","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Kawasaki","AssemblyRobot-5756","Body Shop - Robot Station 2","RC-BOD-2","Safety PLC","Python","46kg","1336mm","No","ASIL-C"
"ROB-BOD-003","Ford Dearborn","Body Shop","Packaging Robot","Critical","Packaging Robot for Body Shop operations","KUKA","PackagingRobot-6286","Body Shop - Robot Station 3","RC-BOD-3","Safety PLC","KRL","15kg","1416mm","No","ASIL-B"
"ROB-BOD-004","Ford Dearborn","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","Yaskawa","AssemblyRobot-3726","Body Shop - Robot Station 4","RC-BOD-4","Safety PLC","KRL","23kg","2851mm","Yes","ASIL-B"
"ROB-BOD-005","Ford Dearborn","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","Fanuc","WeldingRobot-7922","Body Shop - Robot Station 5","RC-BOD-5","Safety PLC","RAPID","22kg","1624mm","Yes","ASIL-C"
"ROB-BOD-006","Ford Dearborn","Body Shop","Material Handling Robot","Critical","Material Handling Robot for Body Shop operations","KUKA","MaterialHandlingRobot-5234","Body Shop - Robot Station 6","RC-BOD-6","Safety PLC","KAREL","38kg","1759mm","Yes","ASIL-C"
"ROB-BOD-007","Ford Dearborn","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","ABB","WeldingRobot-9041","Body Shop - Robot Station 7","RC-BOD-7","Safety PLC","KRL","27kg","1056mm","No","ASIL-B"
"ROB-BOD-008","Ford Dearborn","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","KUKA","WeldingRobot-2095","Body Shop - Robot Station 8","RC-BOD-8","Safety PLC","KRL","55kg","1647mm","Yes","ASIL-B"
"ROB-BOD-009","Ford Dearborn","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","KUKA","QualityInspectionRobot-5197","Body Shop - Robot Station 9","RC-BOD-9","Safety PLC","KRL","33kg","1359mm","Yes","ASIL-B"
"ROB-BOD-010","Ford Dearborn","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","Yaskawa","QualityInspectionRobot-1574","Body Shop - Robot Station 10","RC-BOD-10","Safety PLC","RAPID","44kg","1867mm","Yes","ASIL-C"
"ROB-BOD-011","Ford Dearborn","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","KUKA","WeldingRobot-7379","Body Shop - Robot Station 11","RC-BOD-11","Safety PLC","KRL","43kg","2709mm","Yes","ASIL-C"
"ROB-BOD-012","Ford Dearborn","Body Shop","Assembly Robot","Critical","Assembly Robot for Body Shop operations","KUKA","AssemblyRobot-1581","Body Shop - Robot Station 12","RC-BOD-12","Safety PLC","RAPID","17kg","2439mm","Yes","ASIL-D"
"ROB-BOD-013","Ford Dearborn","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","Kawasaki","QualityInspectionRobot-5689","Body Shop - Robot Station 13","RC-BOD-13","Safety PLC","KAREL","31kg","1356mm","Yes","ASIL-D"
"ROB-BOD-014","Ford Dearborn","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","Fanuc","PaintRobot-1753","Body Shop - Robot Station 14","RC-BOD-14","Safety PLC","Python","30kg","2793mm","Yes","ASIL-C"
"ROB-BOD-015","Ford Dearborn","Body Shop","Welding Robot","Critical","Welding Robot for Body Shop operations","Fanuc","WeldingRobot-4434","Body Shop - Robot Station 15","RC-BOD-15","Safety PLC","Python","11kg","1125mm","Yes","ASIL-D"
"ROB-BOD-016","Ford Dearborn","Body Shop","Material Handling Robot","Critical","Material Handling Robot for Body Shop operations","Fanuc","MaterialHandlingRobot-1008","Body Shop - Robot Station 16","RC-BOD-16","Safety PLC","RAPID","40kg","1481mm","Yes","ASIL-D"
"ROB-BOD-017","Ford Dearborn","Body Shop","Paint Robot","Critical","Paint Robot for Body Shop operations","KUKA","PaintRobot-9834","Body Shop - Robot Station 17","RC-BOD-17","Safety PLC","KAREL","42kg","2313mm","Yes","ASIL-C"
"ROB-BOD-018","Ford Dearborn","Body Shop","Quality Inspection Robot","Critical","Quality Inspection Robot for Body Shop operations","Kawasaki","QualityInspectionRobot-4180","Body Shop - Robot Station 18","RC-BOD-18","Safety PLC","Python","18kg","1588mm","Yes","ASIL-B"
"ROB-PAI-001","Ford Dearborn","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Fanuc","PaintRobot-9236","Paint Shop - Robot Station 1","RC-PAI-1","Safety PLC","Python","16kg","1182mm","No","ASIL-B"
"ROB-PAI-002","Ford Dearborn","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","Yaskawa","PackagingRobot-8211","Paint Shop - Robot Station 2","RC-PAI-2","Safety PLC","RAPID","31kg","2864mm","Yes","ASIL-B"
"ROB-PAI-003","Ford Dearborn","Paint Shop","Welding Robot","Critical","Welding Robot for Paint Shop operations","Fanuc","WeldingRobot-6452","Paint Shop - Robot Station 3","RC-PAI-3","Safety PLC","KRL","44kg","2315mm","Yes","ASIL-B"
"ROB-PAI-004","Ford Dearborn","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","Kawasaki","PaintRobot-1306","Paint Shop - Robot Station 4","RC-PAI-4","Safety PLC","KAREL","51kg","1460mm","Yes","ASIL-C"
"ROB-PAI-005","Ford Dearborn","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","KUKA","AssemblyRobot-9342","Paint Shop - Robot Station 5","RC-PAI-5","Safety PLC","Python","27kg","1624mm","Yes","ASIL-B"
"ROB-PAI-006","Ford Dearborn","Paint Shop","Assembly Robot","Critical","Assembly Robot for Paint Shop operations","Kawasaki","AssemblyRobot-6248","Paint Shop - Robot Station 6","RC-PAI-6","Safety PLC","KRL","45kg","1229mm","Yes","ASIL-D"
"ROB-PAI-007","Ford Dearborn","Paint Shop","Packaging Robot","Critical","Packaging Robot for Paint Shop operations","KUKA","PackagingRobot-9642","Paint Shop - Robot Station 7","RC-PAI-7","Safety PLC","KAREL","31kg","2383mm","Yes","ASIL-B"
"ROB-PAI-008","Ford Dearborn","Paint Shop","Paint Robot","Critical","Paint Robot for Paint Shop operations","ABB","PaintRobot-3415","Paint Shop - Robot Station 8","RC-PAI-8","Safety PLC","Python","48kg","1311mm","Yes","ASIL-B"
"ROB-ASS-001","Ford Dearborn","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Kawasaki","MaterialHandlingRobot-9893","Assembly Line - Robot Station 1","RC-ASS-1","Safety PLC","KRL","21kg","1533mm","Yes","ASIL-D"
"ROB-ASS-002","Ford Dearborn","Assembly Line","Assembly Robot","Critical","Assembly Robot for Assembly Line operations","Fanuc","AssemblyRobot-3135","Assembly Line - Robot Station 2","RC-ASS-2","Safety PLC","RAPID","41kg","2215mm","Yes","ASIL-C"
"ROB-ASS-003","Ford Dearborn","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Fanuc","WeldingRobot-4828","Assembly Line - Robot Station 3","RC-ASS-3","Safety PLC","KAREL","44kg","1297mm","Yes","ASIL-D"
"ROB-ASS-004","Ford Dearborn","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","KUKA","PackagingRobot-7010","Assembly Line - Robot Station 4","RC-ASS-4","Safety PLC","KRL","55kg","2266mm","Yes","ASIL-B"
"ROB-ASS-005","Ford Dearborn","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","Kawasaki","PackagingRobot-5274","Assembly Line - Robot Station 5","RC-ASS-5","Safety PLC","KAREL","30kg","2932mm","Yes","ASIL-D"
"ROB-ASS-006","Ford Dearborn","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-2268","Assembly Line - Robot Station 6","RC-ASS-6","Safety PLC","Python","11kg","1002mm","Yes","ASIL-C"
"ROB-ASS-007","Ford Dearborn","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","Kawasaki","MaterialHandlingRobot-4066","Assembly Line - Robot Station 7","RC-ASS-7","Safety PLC","RAPID","39kg","1764mm","Yes","ASIL-C"
"ROB-ASS-008","Ford Dearborn","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","Kawasaki","PackagingRobot-7727","Assembly Line - Robot Station 8","RC-ASS-8","Safety PLC","RAPID","53kg","2687mm","Yes","ASIL-D"
"ROB-ASS-009","Ford Dearborn","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","KUKA","PackagingRobot-7829","Assembly Line - Robot Station 9","RC-ASS-9","Safety PLC","KAREL","55kg","2781mm","No","ASIL-C"
"ROB-ASS-010","Ford Dearborn","Assembly Line","Welding Robot","Critical","Welding Robot for Assembly Line operations","Yaskawa","WeldingRobot-9187","Assembly Line - Robot Station 10","RC-ASS-10","Safety PLC","RAPID","39kg","1817mm","Yes","ASIL-B"
"ROB-ASS-011","Ford Dearborn","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","Fanuc","PaintRobot-8372","Assembly Line - Robot Station 11","RC-ASS-11","Safety PLC","RAPID","37kg","1740mm","No","ASIL-D"
"ROB-ASS-012","Ford Dearborn","Assembly Line","Material Handling Robot","Critical","Material Handling Robot for Assembly Line operations","KUKA","MaterialHandlingRobot-8031","Assembly Line - Robot Station 12","RC-ASS-12","Safety PLC","KRL","57kg","2243mm","Yes","ASIL-B"
"ROB-ASS-013","Ford Dearborn","Assembly Line","Packaging Robot","Critical","Packaging Robot for Assembly Line operations","Kawasaki","PackagingRobot-8143","Assembly Line - Robot Station 13","RC-ASS-13","Safety PLC","KAREL","39kg","2350mm","Yes","ASIL-D"
"ROB-ASS-014","Ford Dearborn","Assembly Line","Paint Robot","Critical","Paint Robot for Assembly Line operations","KUKA","PaintRobot-9122","Assembly Line - Robot Station 14","RC-ASS-14","Safety PLC","KAREL","29kg","2357mm","Yes","ASIL-C"