asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,gmp_critical,validation_status
"WAR-040","Boston Pharma","Warehouse","PLC","Rockwell","PLC-2575","2025-02-26","Current","2025-11-03","Medium","false","Pending"
"WAR-042","Boston Pharma","Warehouse","SCADA","Siemens","SCADA-7072","2025-02-25","Current","2025-12-13","Medium","false","Validated"
"WAR-044","Boston Pharma","Warehouse","Environmental Monitor","Honeywell","EnvironmentalMonitor-4034","2025-04-07","Current","2026-01-07","Medium","false","Validated"
"WAR-045","Boston Pharma","Warehouse","Environmental Monitor","Siemens","EnvironmentalMonitor-9306","2025-05-11","Current","2026-01-03","Medium","false","Validated"
"WAR-046","Boston Pharma","Warehouse","Serialization System","Emerson","SerializationSystem-5812","2025-01-01","Overdue","2026-01-12","Medium","false","Pending"
"WAR-047","Boston Pharma","Warehouse","PLC","Emerson","PLC-2776","2025-05-10","Current","2025-12-12","Medium","false","Pending"
"WAR-048","Boston Pharma","Warehouse","PLC","Rockwell","PLC-7498","2024-10-25","Current","2026-01-10","Medium","false","Pending"
"API-001","San Diego Biotech","API Manufacturing","Environmental Monitor","Emerson","EnvironmentalMonitor-3490","2025-02-16","Current","2026-01-17","Critical","true","Pending"
"API-003","San Diego Biotech","API Manufacturing","Environmental Monitor","Emerson","EnvironmentalMonitor-6544","2025-07-29","Current","2026-01-14","Critical","true","Pending"
"API-004","San Diego Biotech","API Manufacturing","Environmental Monitor","Rockwell","EnvironmentalMonitor-5771","2025-09-14","Current","2025-12-30","Critical","true","Pending"
"API-005","San Diego Biotech","API Manufacturing","MES","Siemens","MES-7271","2025-07-09","Current","2025-11-18","Critical","true","Pending"
"API-006","San Diego Biotech","API Manufacturing","Batch Controller","Schneider","BatchController-2625","2025-06-30","Current","2026-01-06","Critical","true","Pending"
"API-007","San Diego Biotech","API Manufacturing","Safety PLC","Siemens","SafetyPLC-6673","2025-03-25","Current","2025-11-08","Critical","true","Validated"
"API-008","San Diego Biotech","API Manufacturing","PLC","Emerson","PLC-8088","2025-05-13","Current","2025-12-11","Critical","true","Pending"
"API-009","San Diego Biotech","API Manufacturing","HMI","Emerson","HMI-5791","2025-07-31","Overdue","2025-11-28","Critical","true","Pending"
"API-010","San Diego Biotech","API Manufacturing","LIMS","Rockwell","LIMS-8872","2024-11-29","Overdue","2025-11-03","Critical","true","Validated"
"API-012","San Diego Biotech","API Manufacturing","MES","Rockwell","MES-5219","2025-02-18","Current","2026-01-22","Critical","true","Validated"
"API-013","San Diego Biotech","API Manufacturing","LIMS","Schneider","LIMS-7824","2024-11-16","Current","2025-12-28","Critical","true","Validated"
"API-015","San Diego Biotech","API Manufacturing","Safety PLC","Emerson","SafetyPLC-3135","2025-08-20","Overdue","2026-01-09","Critical","true","Pending"
"API-016","San Diego Biotech","API Manufacturing","LIMS","Rockwell","LIMS-4774","2025-05-16","Current","2025-11-04","Critical","true","Pending"
"API-017","San Diego Biotech","API Manufacturing","LIMS","Honeywell","LIMS-7057","2025-05-08","Current","2026-01-12","Critical","true","Validated"
"API-018","San Diego Biotech","API Manufacturing","Serialization System","Rockwell","SerializationSystem-8482","2025-05-11","Current","2025-12-02","Critical","true","Pending"
"API-019","San Diego Biotech","API Manufacturing","SCADA","Honeywell","SCADA-6874","2025-05-15","Overdue","2025-12-03","Critical","true","Validated"
"API-020","San Diego Biotech","API Manufacturing","Temperature Controller","Emerson","TemperatureController-4491","2025-01-05","Current","2025-11-29","Critical","true","Pending"
"API-021","San Diego Biotech","API Manufacturing","Temperature Controller","Honeywell","TemperatureController-9133","2025-05-19","Current","2025-11-17","Critical","true","Validated"
"API-022","San Diego Biotech","API Manufacturing","Temperature Controller","Schneider","TemperatureController-5498","2025-09-14","Overdue","2025-12-29","Critical","true","Validated"
"API-023","San Diego Biotech","API Manufacturing","MES","Honeywell","MES-8225","2025-06-01","Current","2025-12-11","Critical","true","Pending"
"API-024","San Diego Biotech","API Manufacturing","MES","Honeywell","MES-3032","2025-03-13","Current","2025-11-09","Critical","true","Pending"
"API-025","San Diego Biotech","API Manufacturing","Environmental Monitor","Schneider","EnvironmentalMonitor-8003","2025-09-18","Current","2025-10-28","Critical","true","Validated"
"API-026","San Diego Biotech","API Manufacturing","LIMS","Emerson","LIMS-1716","2025-03-20","Current","2025-11-26","Critical","true","Validated"
"API-027","San Diego Biotech","API Manufacturing","Safety PLC","Schneider","SafetyPLC-5289","2025-07-01","Overdue","2026-01-16","Critical","true","Validated"
"API-032","San Diego Biotech","API Manufacturing","HMI","Siemens","HMI-2896","2025-02-20","Current","2025-12-10","Critical","true","Pending"
"API-033","San Diego Biotech","API Manufacturing","Environmental Monitor","Honeywell","EnvironmentalMonitor-9347","2025-09-03","Current","2025-11-26","Critical","true","Pending"
"API-035","San Diego Biotech","API Manufacturing","LIMS","Emerson","LIMS-1442","2025-10-09","Overdue","2025-11-06","Critical","true","Validated"
"API-036","San Diego Biotech","API Manufacturing","SCADA","Honeywell","SCADA-7295","2025-08-26","Overdue","2025-11-06","Critical","true","Validated"
"API-037","San Diego Biotech","API Manufacturing","Environmental Monitor","Schneider","EnvironmentalMonitor-7912","2025-06-03","Overdue","2025-12-23","Critical","true","Pending"
"API-039","San Diego Biotech","API Manufacturing","Serialization System","Siemens","SerializationSystem-7423","2024-12-03","Current","2025-12-26","Critical","true","Pending"
"API-040","San Diego Biotech","API Manufacturing","SCADA","Emerson","SCADA-8622","2024-10-30","Current","2025-11-25","Critical","true","Pending"
"API-041","San Diego Biotech","API Manufacturing","LIMS","Siemens","LIMS-5742","2025-06-23","Current","2025-12-21","Critical","true","Pending"
"API-042","San Diego Biotech","API Manufacturing","Safety PLC","Emerson","SafetyPLC-2601","2024-12-18","Current","2025-11-09","Critical","true","Pending"
"FOR-001","San Diego Biotech","Formulation","Serialization System","Schneider","SerializationSystem-5506","2024-12-03","Overdue","2025-12-31","Critical","true","Pending"
"FOR-002","San Diego Biotech","Formulation","Safety PLC","Schneider","SafetyPLC-4026","2025-06-06","Current","2025-12-22","Critical","true","Validated"
"FOR-004","San Diego Biotech","Formulation","LIMS","Rockwell","LIMS-3049","2024-11-30","Current","2025-12-14","Critical","true","Validated"
"FOR-005","San Diego Biotech","Formulation","Serialization System","Schneider","SerializationSystem-6293","2025-07-21","Current","2025-12-06","Critical","true","Validated"
"FOR-006","San Diego Biotech","Formulation","HMI","Rockwell","HMI-3952","2025-08-09","Current","2025-10-31","Critical","true","Validated"
"FOR-008","San Diego Biotech","Formulation","Serialization System","Honeywell","SerializationSystem-8300","2025-07-31","Overdue","2025-10-27","Critical","true","Validated"
"FOR-009","San Diego Biotech","Formulation","Serialization System","Rockwell","SerializationSystem-2412","2025-03-26","Current","2025-12-27","Critical","true","Validated"
"FOR-010","San Diego Biotech","Formulation","Safety PLC","Honeywell","SafetyPLC-2865","2024-12-27","Overdue","2025-12-21","Critical","true","Validated"
"FOR-013","San Diego Biotech","Formulation","Temperature Controller","Rockwell","TemperatureController-9409","2025-03-16","Overdue","2026-01-05","Critical","true","Pending"
"FOR-014","San Diego Biotech","Formulation","Batch Controller","Emerson","BatchController-3270","2025-01-01","Overdue","2025-11-13","Critical","true","Pending"
"FOR-015","San Diego Biotech","Formulation","Temperature Controller","Siemens","TemperatureController-2032","2025-02-16","Overdue","2025-12-21","Critical","true","Validated"
"FOR-017","San Diego Biotech","Formulation","Serialization System","Rockwell","SerializationSystem-3352","2025-09-20","Current","2025-12-10","Critical","true","Validated"
"FOR-018","San Diego Biotech","Formulation","Serialization System","Emerson","SerializationSystem-8520","2025-08-28","Current","2025-10-30","Critical","true","Validated"
"FOR-019","San Diego Biotech","Formulation","HMI","Schneider","HMI-6839","2025-01-15","Overdue","2026-01-21","Critical","true","Pending"
"PAC-001","San Diego Biotech","Packaging","Temperature Controller","Emerson","TemperatureController-4072","2025-01-29","Overdue","2025-11-24","High","false","Pending"
"PAC-002","San Diego Biotech","Packaging","Safety PLC","Rockwell","SafetyPLC-2336","2025-07-02","Overdue","2025-11-22","High","false","Validated"
"PAC-006","San Diego Biotech","Packaging","PLC","Siemens","PLC-7145","2025-10-16","Current","2025-11-06","High","false","Pending"
"PAC-007","San Diego Biotech","Packaging","Batch Controller","Emerson","BatchController-6534","2025-05-08","Current","2026-01-09","High","false","Validated"
"PAC-008","San Diego Biotech","Packaging","LIMS","Schneider","LIMS-6394","2024-12-16","Overdue","2025-12-02","High","false","Validated"
"PAC-009","San Diego Biotech","Packaging","Temperature Controller","Rockwell","TemperatureController-7350","2024-12-25","Current","2025-12-04","High","false","Validated"
"PAC-010","San Diego Biotech","Packaging","PLC","Rockwell","PLC-6381","2024-11-27","Overdue","2025-12-09","High","false","Pending"
"PAC-012","San Diego Biotech","Packaging","Safety PLC","Siemens","SafetyPLC-5367","2025-02-14","Current","2025-11-01","High","false","Validated"
"PAC-013","San Diego Biotech","Packaging","Batch Controller","Schneider","BatchController-6779","2025-09-16","Current","2025-11-04","High","false","Validated"
"PAC-014","San Diego Biotech","Packaging","PLC","Rockwell","PLC-8134","2025-09-05","Overdue","2025-12-26","High","false","Validated"
"PAC-015","San Diego Biotech","Packaging","Temperature Controller","Honeywell","TemperatureController-2570","2025-07-24","Current","2025-12-23","High","false","Validated"
"PAC-016","San Diego Biotech","Packaging","MES","Siemens","MES-9672","2024-10-27","Overdue","2026-01-22","High","false","Pending"
"PAC-017","San Diego Biotech","Packaging","MES","Rockwell","MES-5129","2025-10-11","Overdue","2025-11-29","High","false","Validated"
"PAC-018","San Diego Biotech","Packaging","Temperature Controller","Rockwell","TemperatureController-1049","2024-12-13","Overdue","2025-10-25","High","false","Validated"
"PAC-019","San Diego Biotech","Packaging","Environmental Monitor","Schneider","EnvironmentalMonitor-9201","2025-08-06","Current","2025-12-10","High","false","Validated"
"PAC-020","San Diego Biotech","Packaging","Safety PLC","Honeywell","SafetyPLC-5692","2025-09-29","Current","2026-01-21","High","false","Pending"
"PAC-021","San Diego Biotech","Packaging","Temperature Controller","Schneider","TemperatureController-8766","2024-11-27","Current","2025-11-29","High","false","Validated"
"PAC-022","San Diego Biotech","Packaging","Batch Controller","Schneider","BatchController-2008","2025-05-20","Overdue","2025-12-26","High","false","Validated"
"PAC-023","San Diego Biotech","Packaging","HMI","Rockwell","HMI-6728","2025-04-29","Current","2026-01-20","High","false","Pending"
"PAC-024","San Diego Biotech","Packaging","Safety PLC","Rockwell","SafetyPLC-2052","2025-07-15","Overdue","2025-11-08","High","false","Validated"
"PAC-025","San Diego Biotech","Packaging","Safety PLC","Emerson","SafetyPLC-1844","2025-02-25","Current","2025-11-16","High","false","Pending"
"PAC-026","San Diego Biotech","Packaging","LIMS","Honeywell","LIMS-8414","2025-08-30","Current","2025-11-18","High","false","Validated"
"PAC-027","San Diego Biotech","Packaging","Environmental Monitor","Rockwell","EnvironmentalMonitor-5745","2025-09-27","Overdue","2025-12-17","High","false","Validated"
"PAC-028","San Diego Biotech","Packaging","Temperature Controller","Honeywell","TemperatureController-3681","2025-03-19","Current","2026-01-05","High","false","Validated"
"PAC-029","San Diego Biotech","Packaging","PLC","Emerson","PLC-5608","2024-11-22","Current","2025-10-25","High","false","Pending"
"PAC-030","San Diego Biotech","Packaging","Serialization System","Rockwell","SerializationSystem-3310","2025-06-24","Current","2026-01-15","High","false","Pending"
"PAC-031","San Diego Biotech","Packaging","Environmental Monitor","Emerson","EnvironmentalMonitor-4670","2025-04-26","Current","2025-11-11","High","false","Pending"
"PAC-032","San Diego Biotech","Packaging","Serialization System","Emerson","SerializationSystem-6351","2025-05-03","Current","2025-12-14","High","false","Validated"
"PAC-034","San Diego Biotech","Packaging","MES","Siemens","MES-2154","2025-09-17","Current","2025-11-14","High","false","Pending"
"PAC-036","San Diego Biotech","Packaging","Safety PLC","Honeywell","SafetyPLC-6991","2024-12-05","Overdue","2025-12-25","High","false","Validated"
"PAC-038","San Diego Biotech","Packaging","HMI","Emerson","HMI-1436","2025-01-25","Current","2025-12-26","High","false","Pending"
"PAC-039","San Diego Biotech","Packaging","Temperature Controller","Honeywell","TemperatureController-1091","2025-03-17","Current","2025-11-16","High","false","Pending"
"PAC-041","San Diego Biotech","Packaging","MES","Emerson","MES-6926","2025-01-16","Overdue","2025-12-22","High","false","Validated"
"PAC-042","San Diego Biotech","Packaging","PLC","Siemens","PLC-5934","2025-05-25","Current","2026-01-02","High","false","Validated"
"PAC-043","San Diego Biotech","Packaging","LIMS","Siemens","LIMS-2520","2025-02-16","Current","2025-12-26","High","false","Validated"
"PAC-044","San Diego Biotech","Packaging","Safety PLC","Schneider","SafetyPLC-2233","2024-11-02","Overdue","2025-12-21","High","false","Pending"
"QUA-001","San Diego Biotech","Quality Control Lab","Safety PLC","Honeywell","SafetyPLC-8517","2025-08-23","Current","2026-01-20","Critical","true","Validated"
"QUA-002","San Diego Biotech","Quality Control Lab","PLC","Honeywell","PLC-8615","2024-11-20","Overdue","2025-11-07","Critical","true","Pending"
"QUA-003","San Diego Biotech","Quality Control Lab","Temperature Controller","Rockwell","TemperatureController-8886","2025-05-10","Current","2025-11-30","Critical","true","Validated"
"QUA-004","San Diego Biotech","Quality Control Lab","LIMS","Siemens","LIMS-4454","2025-05-31","Current","2025-12-23","Critical","true","Validated"
"QUA-005","San Diego Biotech","Quality Control Lab","SCADA","Schneider","SCADA-6565","2025-09-30","Current","2025-11-11","Critical","true","Validated"
"QUA-006","San Diego Biotech","Quality Control Lab","Safety PLC","Rockwell","SafetyPLC-5569","2025-02-11","Current","2025-12-30","Critical","true","Validated"
"QUA-007","San Diego Biotech","Quality Control Lab","Batch Controller","Schneider","BatchController-5245","2025-08-17","Current","2025-12-04","Critical","true","Pending"
"QUA-008","San Diego Biotech","Quality Control Lab","LIMS","Rockwell","LIMS-8617","2025-01-10","Current","2025-11-01","Critical","true","Validated"
"QUA-009","San Diego Biotech","Quality Control Lab","Serialization System","Honeywell","SerializationSystem-1827","2025-09-02","Current","2025-11-25","Critical","true","Pending"
"QUA-010","San Diego Biotech","Quality Control Lab","SCADA","Schneider","SCADA-1130","2024-12-02","Current","2026-01-03","Critical","true","Validated"
"QUA-011","San Diego Biotech","Quality Control Lab","LIMS","Honeywell","LIMS-9644","2024-10-29","Current","2025-11-18","Critical","true","Validated"
"QUA-012","San Diego Biotech","Quality Control Lab","HMI","Schneider","HMI-4628","2025-08-30","Overdue","2026-01-03","Critical","true","Pending"
"QUA-013","San Diego Biotech","Quality Control Lab","SCADA","Honeywell","SCADA-6745","2025-10-13","Overdue","2025-11-05","Critical","true","Validated"
"QUA-014","San Diego Biotech","Quality Control Lab","Serialization System","Schneider","SerializationSystem-5894","2025-03-20","Current","2025-12-08","Critical","true","Validated"
"QUA-015","San Diego Biotech","Quality Control Lab","Serialization System","Schneider","SerializationSystem-9184","2025-02-14","Current","2025-11-15","Critical","true","Pending"
"QUA-016","San Diego Biotech","Quality Control Lab","Serialization System","Siemens","SerializationSystem-5808","2025-10-04","Current","2025-12-03","Critical","true","Validated"
"QUA-017","San Diego Biotech","Quality Control Lab","MES","Emerson","MES-6243","2025-04-19","Overdue","2025-11-06","Critical","true","Validated"
"QUA-019","San Diego Biotech","Quality Control Lab","Temperature Controller","Siemens","TemperatureController-6228","2025-04-27","Current","2026-01-08","Critical","true","Validated"
"QUA-020","San Diego Biotech","Quality Control Lab","LIMS","Siemens","LIMS-1472","2024-12-11","Overdue","2025-12-07","Critical","true","Pending"
"QUA-021","San Diego Biotech","Quality Control Lab","SCADA","Schneider","SCADA-9641","2025-05-13","Overdue","2025-12-08","Critical","true","Validated"
"UTI-001","San Diego Biotech","Utilities","Safety PLC","Emerson","SafetyPLC-7825","2025-09-04","Current","2025-12-14","High","false","Validated"
"UTI-002","San Diego Biotech","Utilities","PLC","Emerson","PLC-8558","2025-09-01","Current","2025-11-07","High","false","Validated"
"UTI-003","San Diego Biotech","Utilities","LIMS","Siemens","LIMS-5085","2025-06-22","Overdue","2025-11-10","High","false","Validated"
"UTI-004","San Diego Biotech","Utilities","Serialization System","Siemens","SerializationSystem-8975","2025-09-26","Current","2025-11-24","High","false","Pending"
"UTI-006","San Diego Biotech","Utilities","HMI","Siemens","HMI-3508","2024-12-21","Overdue","2025-11-01","High","false","Validated"
"UTI-007","San Diego Biotech","Utilities","Temperature Controller","Siemens","TemperatureController-9450","2025-05-24","Current","2025-11-19","High","false","Pending"
"UTI-008","San Diego Biotech","Utilities","Safety PLC","Rockwell","SafetyPLC-7298","2024-12-24","Current","2026-01-21","High","false","Validated"
"UTI-009","San Diego Biotech","Utilities","LIMS","Siemens","LIMS-9782","2024-12-20","Overdue","2025-11-29","High","false","Validated"
"UTI-010","San Diego Biotech","Utilities","Safety PLC","Siemens","SafetyPLC-2879","2025-04-30","Current","2026-01-20","High","false","Validated"
"UTI-011","San Diego Biotech","Utilities","LIMS","Rockwell","LIMS-8808","2025-03-24","Current","2025-11-27","High","false","Validated"
"UTI-012","San Diego Biotech","Utilities","SCADA","Schneider","SCADA-6155","2025-07-26","Current","2026-01-19","High","false","Pending"
"UTI-013","San Diego Biotech","Utilities","Safety PLC","Siemens","SafetyPLC-5879","2025-03-08","Current","2026-01-13","High","false","Validated"
"UTI-014","San Diego Biotech","Utilities","Serialization System","Rockwell","SerializationSystem-1979","2025-08-26","Current","2025-12-25","High","false","Validated"
"UTI-015","San Diego Biotech","Utilities","Temperature Controller","Schneider","TemperatureController-8510","2025-04-25","Overdue","2026-01-04","High","false","Validated"
"UTI-017","San Diego Biotech","Utilities","Serialization System","Rockwell","SerializationSystem-5039","2025-06-27","Current","2025-11-28","High","false","Pending"
"WAR-001","San Diego Biotech","Warehouse","SCADA","Schneider","SCADA-3306","2025-07-15","Current","2025-12-27","Medium","false","Pending"
"WAR-002","San Diego Biotech","Warehouse","SCADA","Emerson","SCADA-7194","2025-05-02","Current","2026-01-11","Medium","false","Validated"
"WAR-003","San Diego Biotech","Warehouse","MES","Siemens","MES-7259","2025-03-10","Overdue","2026-01-08","Medium","false","Validated"
"WAR-004","San Diego Biotech","Warehouse","HMI","Siemens","HMI-5713","2024-12-01","Overdue","2025-12-09","Medium","false","Validated"
"WAR-005","San Diego Biotech","Warehouse","MES","Emerson","MES-7301","2024-12-25","Current","2025-11-23","Medium","false","Pending"
"WAR-006","San Diego Biotech","Warehouse","Environmental Monitor","Schneider","EnvironmentalMonitor-7386","2025-07-21","Current","2025-11-23","Medium","false","Validated"
"WAR-007","San Diego Biotech","Warehouse","Temperature Controller","Rockwell","TemperatureController-6911","2024-10-29","Current","2026-01-11","Medium","false","Pending"
"WAR-009","San Diego Biotech","Warehouse","Temperature Controller","Siemens","TemperatureController-7314","2025-01-21","Current","2025-11-18","Medium","false","Validated"
"WAR-011","San Diego Biotech","Warehouse","Batch Controller","Rockwell","BatchController-3432","2025-09-28","Current","2026-01-18","Medium","false","Validated"
"WAR-012","San Diego Biotech","Warehouse","Serialization System","Schneider","SerializationSystem-6522","2024-12-27","Overdue","2025-11-03","Medium","false","Validated"
"WAR-013","San Diego Biotech","Warehouse","MES","Emerson","MES-5527","2025-05-11","Current","2025-10-31","Medium","false","Pending"
"WAR-015","San Diego Biotech","Warehouse","HMI","Rockwell","HMI-1994","2025-06-26","Current","2025-12-23","Medium","false","Pending"
"WAR-016","San Diego Biotech","Warehouse","Batch Controller","Rockwell","BatchController-2087","2025-03-20","Overdue","2025-11-14","Medium","false","Validated"
"WAR-017","San Diego Biotech","Warehouse","PLC","Schneider","PLC-1411","2025-02-01","Current","2025-11-19","Medium","false","Validated"
"API-002","New Jersey Labs","API Manufacturing","Serialization System","Emerson","SerializationSystem-2229","2025-08-06","Overdue","2025-11-03","Critical","true","Validated"
"API-005","New Jersey Labs","API Manufacturing","SCADA","Siemens","SCADA-2606","2025-02-02","Current","2025-12-16","Critical","true","Validated"
"API-007","New Jersey Labs","API Manufacturing","LIMS","Emerson","LIMS-7206","2025-02-07","Current","2025-10-27","Critical","true","Validated"
"API-008","New Jersey Labs","API Manufacturing","Batch Controller","Siemens","BatchController-2339","2024-10-24","Current","2025-12-26","Critical","true","Validated"
"API-009","New Jersey Labs","API Manufacturing","HMI","Schneider","HMI-8591","2025-07-03","Current","2026-01-06","Critical","true","Validated"
"API-010","New Jersey Labs","API Manufacturing","Safety PLC","Honeywell","SafetyPLC-2421","2024-11-08","Current","2026-01-13","Critical","true","Validated"
"API-011","New Jersey Labs","API Manufacturing","Serialization System","Siemens","SerializationSystem-6011","2024-12-23","Overdue","2026-01-12","Critical","true","Validated"
"API-013","New Jersey Labs","API Manufacturing","SCADA","Rockwell","SCADA-4524","2025-10-04","Current","2025-11-12","Critical","true","Pending"
"API-015","New Jersey Labs","API Manufacturing","MES","Emerson","MES-6445","2025-05-03","Current","2025-12-28","Critical","true","Pending"
"API-016","New Jersey Labs","API Manufacturing","Temperature Controller","Rockwell","TemperatureController-3584","2025-10-18","Current","2025-12-19","Critical","true","Validated"
"API-017","New Jersey Labs","API Manufacturing","Batch Controller","Rockwell","BatchController-7593","2024-10-26","Current","2025-11-23","Critical","true","Validated"
"API-018","New Jersey Labs","API Manufacturing","LIMS","Rockwell","LIMS-8702","2025-09-05","Overdue","2026-01-20","Critical","true","Pending"
"API-019","New Jersey Labs","API Manufacturing","Serialization System","Schneider","SerializationSystem-9493","2024-12-27","Current","2026-01-17","Critical","true","Validated"
"API-020","New Jersey Labs","API Manufacturing","HMI","Emerson","HMI-3984","2025-07-22","Current","2025-12-14","Critical","true","Pending"
"API-021","New Jersey Labs","API Manufacturing","LIMS","Emerson","LIMS-6957","2024-11-02","Current","2025-12-15","Critical","true","Validated"
"API-022","New Jersey Labs","API Manufacturing","PLC","Schneider","PLC-8435","2025-05-28","Current","2026-01-02","Critical","true","Validated"
"API-023","New Jersey Labs","API Manufacturing","Temperature Controller","Honeywell","TemperatureController-2308","2024-11-10","Current","2025-12-23","Critical","true","Validated"
"API-025","New Jersey Labs","API Manufacturing","PLC","Schneider","PLC-5082","2024-12-08","Overdue","2025-12-19","Critical","true","Validated"
"API-026","New Jersey Labs","API Manufacturing","Batch Controller","Emerson","BatchController-6599","2024-11-02","Overdue","2026-01-13","Critical","true","Validated"
"API-029","New Jersey Labs","API Manufacturing","Serialization System","Schneider","SerializationSystem-3601","2024-12-23","Overdue","2026-01-09","Critical","true","Validated"
"API-030","New Jersey Labs","API Manufacturing","SCADA","Rockwell","SCADA-6090","2024-12-19","Overdue","2025-11-19","Critical","true","Pending"
"API-032","New Jersey Labs","API Manufacturing","Serialization System","Honeywell","SerializationSystem-5710","2025-08-06","Current","2026-01-04","Critical","true","Validated"
"API-033","New Jersey Labs","API Manufacturing","Environmental Monitor","Siemens","EnvironmentalMonitor-7104","2025-09-06","Overdue","2026-01-16","Critical","true","Pending"
"API-034","New Jersey Labs","API Manufacturing","Safety PLC","Honeywell","SafetyPLC-7101","2024-12-27","Current","2025-12-21","Critical","true","Validated"
"API-036","New Jersey Labs","API Manufacturing","HMI","Honeywell","HMI-1887","2024-11-14","Current","2025-11-20","Critical","true","Validated"
