asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality
"BOD-001","Detroit Assembly","Body Shop","Quality Scanner","KUKA","QualityScanner-1745","2025-03-14","Current","2026-01-20","Critical"
"BOD-003","Detroit Assembly","Body Shop","Welding Controller","ABB","WeldingController-6982","2025-02-01","Overdue","2025-12-18","Critical"
"BOD-004","Detroit Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-9816","2025-06-21","Overdue","2025-12-15","Critical"
"BOD-005","Detroit Assembly","Body Shop","HMI Station","Fanuc","HMIStation-7060","2025-01-01","Current","2026-01-19","Critical"
"BOD-007","Detroit Assembly","Body Shop","Paint Robot","Rockwell","PaintRobot-6144","2025-07-16","Current","2026-01-03","Critical"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","Rockwell","RobotController-4264","2025-06-26","Current","2025-11-03","Critical"
"BOD-009","Detroit Assembly","Body Shop","HMI Station","KUKA","HMIStation-9052","2025-01-24","Current","2025-12-27","Critical"
"BOD-010","Detroit Assembly","Body Shop","Paint Controller","Fanuc","PaintController-9757","2024-11-17","Current","2025-12-23","Critical"
"BOD-011","Detroit Assembly","Body Shop","Assembly Robot","Fanuc","AssemblyRobot-7906","2024-11-07","Overdue","2025-11-11","Critical"
"BOD-012","Detroit Assembly","Body Shop","Welding Robot","KUKA","WeldingRobot-9062","2025-10-09","Current","2025-11-25","Critical"
"BOD-013","Detroit Assembly","Body Shop","Paint Controller","KUKA","PaintController-5312","2025-10-11","Overdue","2025-12-13","Critical"
"BOD-014","Detroit Assembly","Body Shop","Robot Controller","Fanuc","RobotController-4776","2025-05-08","Current","2025-12-06","Critical"
"BOD-015","Detroit Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-3753","2025-10-10","Overdue","2026-01-13","Critical"
"BOD-016","Detroit Assembly","Body Shop","Quality Scanner","KUKA","QualityScanner-3554","2025-01-24","Current","2025-12-06","Critical"
"BOD-019","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-1258","2025-04-16","Current","2025-10-30","Critical"
"BOD-020","Detroit Assembly","Body Shop","Vision System","ABB","VisionSystem-9052","2025-02-03","Current","2026-01-04","Critical"
"BOD-021","Detroit Assembly","Body Shop","Welding Controller","Siemens","WeldingController-9028","2025-02-19","Current","2025-12-13","Critical"
"BOD-022","Detroit Assembly","Body Shop","Conveyor Controller","Rockwell","ConveyorController-4880","2025-02-21","Current","2025-11-02","Critical"
"BOD-023","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-6186","2025-05-06","Current","2026-01-04","Critical"
"BOD-024","Detroit Assembly","Body Shop","SCADA System","ABB","SCADASystem-9164","2025-03-10","Current","2025-11-13","Critical"
"BOD-025","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-6735","2025-01-15","Overdue","2025-11-27","Critical"
"BOD-026","Detroit Assembly","Body Shop","Robot Controller","Siemens","RobotController-6004","2025-07-27","Current","2025-12-13","Critical"
"BOD-027","Detroit Assembly","Body Shop","Safety PLC","Rockwell","SafetyPLC-1079","2025-04-27","Current","2026-01-20","Critical"
"PAI-001","Detroit Assembly","Paint Shop","Paint Robot","Siemens","PaintRobot-8624","2025-03-23","Current","2025-11-03","Critical"
"PAI-002","Detroit Assembly","Paint Shop","HMI Station","KUKA","HMIStation-6521","2024-11-17","Overdue","2026-01-04","Critical"
"PAI-003","Detroit Assembly","Paint Shop","Conveyor Controller","KUKA","ConveyorController-7922","2025-04-06","Current","2025-11-29","Critical"
"PAI-004","Detroit Assembly","Paint Shop","Paint Controller","KUKA","PaintController-8012","2025-04-20","Current","2025-12-30","Critical"
"PAI-005","Detroit Assembly","Paint Shop","Paint Controller","ABB","PaintController-4967","2025-09-29","Current","2025-11-25","Critical"
"PAI-007","Detroit Assembly","Paint Shop","Robot Controller","ABB","RobotController-2733","2025-05-04","Overdue","2025-11-08","Critical"
"PAI-008","Detroit Assembly","Paint Shop","SCADA System","KUKA","SCADASystem-8588","2025-06-01","Current","2025-11-05","Critical"
"PAI-009","Detroit Assembly","Paint Shop","SCADA System","Fanuc","SCADASystem-7611","2025-02-02","Current","2025-11-02","Critical"
"PAI-010","Detroit Assembly","Paint Shop","Welding Controller","ABB","WeldingController-9538","2025-05-14","Current","2025-11-11","Critical"
"PAI-011","Detroit Assembly","Paint Shop","Safety PLC","Rockwell","SafetyPLC-1795","2025-05-05","Overdue","2026-01-02","Critical"
"PAI-012","Detroit Assembly","Paint Shop","Conveyor Controller","Rockwell","ConveyorController-8392","2025-04-03","Overdue","2026-01-11","Critical"
"PAI-013","Detroit Assembly","Paint Shop","Vision System","Fanuc","VisionSystem-6902","2025-09-17","Current","2025-11-12","Critical"
"PAI-014","Detroit Assembly","Paint Shop","HMI Station","Fanuc","HMIStation-4215","2025-02-23","Current","2026-01-11","Critical"
"PAI-015","Detroit Assembly","Paint Shop","Safety PLC","Fanuc","SafetyPLC-9242","2025-04-08","Current","2025-11-06","Critical"
"PAI-016","Detroit Assembly","Paint Shop","Conveyor Controller","ABB","ConveyorController-6339","2025-05-12","Current","2025-10-31","Critical"
"PAI-017","Detroit Assembly","Paint Shop","HMI Station","ABB","HMIStation-6520","2025-02-13","Current","2025-11-03","Critical"
"PAI-018","Detroit Assembly","Paint Shop","Conveyor Controller","Fanuc","ConveyorController-9808","2025-07-16","Current","2025-12-26","Critical"
"PAI-019","Detroit Assembly","Paint Shop","Safety PLC","Siemens","SafetyPLC-5119","2025-08-09","Current","2025-10-31","Critical"
"PAI-020","Detroit Assembly","Paint Shop","Assembly Robot","Siemens","AssemblyRobot-8536","2025-04-18","Overdue","2025-11-20","Critical"
"PAI-021","Detroit Assembly","Paint Shop","Welding Robot","KUKA","WeldingRobot-1610","2025-09-07","Current","2026-01-11","Critical"
"PAI-022","Detroit Assembly","Paint Shop","Robot Controller","ABB","RobotController-9406","2025-10-06","Current","2025-12-11","Critical"
"PAI-024","Detroit Assembly","Paint Shop","Robot Controller","Fanuc","RobotController-6098","2024-11-25","Overdue","2025-11-17","Critical"
"PAI-025","Detroit Assembly","Paint Shop","Conveyor Controller","Rockwell","ConveyorController-4387","2025-05-09","Overdue","2026-01-10","Critical"
"PAI-027","Detroit Assembly","Paint Shop","Vision System","ABB","VisionSystem-8774","2025-10-10","Current","2025-12-15","Critical"
"PAI-030","Detroit Assembly","Paint Shop","Paint Controller","ABB","PaintController-6126","2025-06-15","Overdue","2025-10-30","Critical"
"PAI-033","Detroit Assembly","Paint Shop","SCADA System","Siemens","SCADASystem-7980","2025-06-05","Current","2025-11-06","Critical"
"PAI-034","Detroit Assembly","Paint Shop","Paint Robot","Rockwell","PaintRobot-7821","2025-01-19","Current","2026-01-13","Critical"
"PAI-035","Detroit Assembly","Paint Shop","Vision System","Fanuc","VisionSystem-7149","2024-12-24","Current","2025-12-23","Critical"
"PAI-036","Detroit Assembly","Paint Shop","Quality Scanner","Fanuc","QualityScanner-1894","2025-04-03","Current","2026-01-19","Critical"
"PAI-037","Detroit Assembly","Paint Shop","Welding Controller","Siemens","WeldingController-1652","2025-09-18","Current","2025-12-28","Critical"
"PAI-038","Detroit Assembly","Paint Shop","Paint Robot","Rockwell","PaintRobot-9275","2025-08-28","Current","2025-11-05","Critical"
"ASS-001","Detroit Assembly","Assembly Line","SCADA System","Siemens","SCADASystem-1209","2025-08-28","Current","2025-12-29","Critical"
"ASS-002","Detroit Assembly","Assembly Line","Safety PLC","ABB","SafetyPLC-7535","2025-06-19","Current","2026-01-09","Critical"
"ASS-003","Detroit Assembly","Assembly Line","Paint Controller","Fanuc","PaintController-2524","2025-04-21","Current","2025-12-10","Critical"
"ASS-004","Detroit Assembly","Assembly Line","Robot Controller","Fanuc","RobotController-4402","2025-08-13","Current","2025-11-06","Critical"
"ASS-005","Detroit Assembly","Assembly Line","Assembly Robot","Rockwell","AssemblyRobot-6876","2025-07-07","Current","2025-12-13","Critical"
"ASS-006","Detroit Assembly","Assembly Line","Paint Robot","Siemens","PaintRobot-1711","2025-01-16","Current","2025-11-08","Critical"
"ASS-007","Detroit Assembly","Assembly Line","Paint Robot","Fanuc","PaintRobot-7177","2025-04-28","Current","2025-11-18","Critical"
"ASS-008","Detroit Assembly","Assembly Line","Paint Robot","KUKA","PaintRobot-8725","2025-06-30","Overdue","2025-11-05","Critical"
"ASS-010","Detroit Assembly","Assembly Line","Quality Scanner","Rockwell","QualityScanner-4936","2025-10-22","Current","2025-11-22","Critical"
"ASS-011","Detroit Assembly","Assembly Line","Paint Controller","Rockwell","PaintController-7518","2024-12-08","Current","2025-11-23","Critical"
"ASS-012","Detroit Assembly","Assembly Line","HMI Station","Siemens","HMIStation-5025","2025-06-26","Current","2025-11-27","Critical"
"ASS-013","Detroit Assembly","Assembly Line","Vision System","Rockwell","VisionSystem-3158","2025-02-03","Current","2025-12-09","Critical"
"ASS-014","Detroit Assembly","Assembly Line","Paint Controller","KUKA","PaintController-1732","2024-12-02","Current","2025-11-27","Critical"
"ASS-015","Detroit Assembly","Assembly Line","Quality Scanner","Fanuc","QualityScanner-1729","2024-11-07","Current","2025-10-26","Critical"
"ASS-016","Detroit Assembly","Assembly Line","HMI Station","ABB","HMIStation-9393","2025-05-25","Current","2025-11-21","Critical"
"ASS-017","Detroit Assembly","Assembly Line","Safety PLC","Siemens","SafetyPLC-5185","2025-07-08","Current","2026-01-18","Critical"
"ASS-018","Detroit Assembly","Assembly Line","HMI Station","KUKA","HMIStation-2213","2025-09-24","Current","2025-11-21","Critical"
"ASS-020","Detroit Assembly","Assembly Line","Paint Robot","Fanuc","PaintRobot-8582","2025-04-23","Current","2025-11-01","Critical"
"ASS-021","Detroit Assembly","Assembly Line","Assembly Robot","Siemens","AssemblyRobot-8732","2025-09-10","Overdue","2025-11-14","Critical"
"ASS-023","Detroit Assembly","Assembly Line","Robot Controller","ABB","RobotController-5779","2024-11-19","Overdue","2026-01-22","Critical"
"ASS-024","Detroit Assembly","Assembly Line","Assembly Robot","Rockwell","AssemblyRobot-5468","2025-05-21","Overdue","2025-11-22","Critical"
"ASS-025","Detroit Assembly","Assembly Line","Welding Controller","Siemens","WeldingController-7559","2025-01-22","Current","2025-11-08","Critical"
"ASS-026","Detroit Assembly","Assembly Line","Quality Scanner","Fanuc","QualityScanner-2348","2025-01-29","Overdue","2025-11-24","Critical"
"ASS-027","Detroit Assembly","Assembly Line","Safety PLC","Fanuc","SafetyPLC-3307","2025-01-29","Current","2025-10-29","Critical"
"ASS-028","Detroit Assembly","Assembly Line","Welding Controller","Fanuc","WeldingController-6564","2025-01-19","Current","2025-11-09","Critical"
"ASS-030","Detroit Assembly","Assembly Line","Paint Robot","Fanuc","PaintRobot-3889","2025-08-19","Current","2025-10-30","Critical"
"ASS-031","Detroit Assembly","Assembly Line","Robot Controller","Rockwell","RobotController-9024","2025-04-14","Overdue","2025-11-17","Critical"
"ASS-032","Detroit Assembly","Assembly Line","Paint Robot","Siemens","PaintRobot-9790","2025-04-12","Overdue","2025-12-30","Critical"
"ASS-033","Detroit Assembly","Assembly Line","Welding Robot","Rockwell","WeldingRobot-1608","2024-12-16","Current","2025-11-14","Critical"
"ASS-034","Detroit Assembly","Assembly Line","Conveyor Controller","Siemens","ConveyorController-5090","2025-08-17","Overdue","2025-11-20","Critical"
"ASS-035","Detroit Assembly","Assembly Line","Paint Robot","Fanuc","PaintRobot-8972","2025-01-19","Current","2025-12-13","Critical"
"ASS-037","Detroit Assembly","Assembly Line","Robot Controller","Fanuc","RobotController-2338","2025-05-17","Overdue","2025-11-24","Critical"
"ASS-038","Detroit Assembly","Assembly Line","Robot Controller","Rockwell","RobotController-9234","2025-07-16","Current","2025-12-30","Critical"
"ASS-039","Detroit Assembly","Assembly Line","Quality Scanner","KUKA","QualityScanner-9623","2024-12-24","Current","2025-12-31","Critical"
"ASS-040","Detroit Assembly","Assembly Line","Safety PLC","KUKA","SafetyPLC-8028","2025-06-21","Current","2025-12-18","Critical"
"ASS-041","Detroit Assembly","Assembly Line","Robot Controller","KUKA","RobotController-2530","2025-10-14","Current","2025-11-20","Critical"
"ASS-044","Detroit Assembly","Assembly Line","Vision System","Siemens","VisionSystem-8343","2025-04-24","Overdue","2025-11-14","Critical"
"ASS-045","Detroit Assembly","Assembly Line","Paint Robot","KUKA","PaintRobot-1062","2025-07-28","Current","2025-11-22","Critical"
"ASS-046","Detroit Assembly","Assembly Line","Welding Robot","Siemens","WeldingRobot-6231","2025-03-15","Current","2025-12-21","Critical"
"ASS-047","Detroit Assembly","Assembly Line","Conveyor Controller","ABB","ConveyorController-7668","2025-08-11","Current","2025-12-27","Critical"
"ASS-048","Detroit Assembly","Assembly Line","SCADA System","Siemens","SCADASystem-7789","2025-07-25","Current","2026-01-22","Critical"
"ASS-049","Detroit Assembly","Assembly Line","Quality Scanner","Fanuc","QualityScanner-6999","2025-05-16","Current","2026-01-05","Critical"
"ASS-051","Detroit Assembly","Assembly Line","Conveyor Controller","Fanuc","ConveyorController-6370","2025-09-16","Overdue","2025-11-23","Critical"
"ASS-052","Detroit Assembly","Assembly Line","Conveyor Controller","ABB","ConveyorController-8784","2025-05-10","Current","2025-10-27","Critical"
"ASS-053","Detroit Assembly","Assembly Line","Robot Controller","ABB","RobotController-9130","2025-09-17","Current","2025-12-20","Critical"
"ASS-054","Detroit Assembly","Assembly Line","Vision System","KUKA","VisionSystem-1400","2024-10-27","Overdue","2025-12-08","Critical"
"ASS-055","Detroit Assembly","Assembly Line","Assembly Robot","Rockwell","AssemblyRobot-5606","2025-01-29","Overdue","2025-12-21","Critical"
"ASS-056","Detroit Assembly","Assembly Line","Welding Robot","Siemens","WeldingRobot-3595","2025-05-03","Current","2025-11-29","Critical"
"ASS-057","Detroit Assembly","Assembly Line","Robot Controller","Rockwell","RobotController-2667","2025-04-19","Current","2025-12-12","Critical"
"ASS-058","Detroit Assembly","Assembly Line","Robot Controller","Fanuc","RobotController-7856","2025-03-29","Overdue","2025-12-24","Critical"
"ASS-060","Detroit Assembly","Assembly Line","SCADA System","Siemens","SCADASystem-7804","2025-06-19","Current","2026-01-08","Critical"
"ASS-061","Detroit Assembly","Assembly Line","Vision System","Rockwell","VisionSystem-8866","2025-10-12","Current","2025-12-01","Critical"
"ASS-062","Detroit Assembly","Assembly Line","Vision System","Siemens","VisionSystem-5855","2025-09-23","Current","2026-01-02","Critical"
"ASS-064","Detroit Assembly","Assembly Line","Paint Controller","Siemens","PaintController-6368","2024-10-28","Current","2025-12-31","Critical"
"ASS-065","Detroit Assembly","Assembly Line","Robot Controller","Siemens","RobotController-2237","2025-01-31","Current","2025-12-01","Critical"
"ASS-066","Detroit Assembly","Assembly Line","Paint Robot","KUKA","PaintRobot-1056","2025-10-11","Current","2026-01-19","Critical"
"ASS-067","Detroit Assembly","Assembly Line","Paint Robot","ABB","PaintRobot-7950","2025-06-29","Overdue","2026-01-15","Critical"
"POW-001","Detroit Assembly","Powertrain","Assembly Robot","KUKA","AssemblyRobot-1347","2025-04-09","Current","2025-12-22","Medium"
"POW-002","Detroit Assembly","Powertrain","Safety PLC","Fanuc","SafetyPLC-6813","2025-10-05","Overdue","2025-11-25","Medium"
"POW-003","Detroit Assembly","Powertrain","Welding Controller","Siemens","WeldingController-9770","2025-01-25","Current","2025-11-24","Medium"
"POW-004","Detroit Assembly","Powertrain","Assembly Robot","Siemens","AssemblyRobot-4062","2025-01-05","Current","2025-11-03","Medium"
"POW-005","Detroit Assembly","Powertrain","Safety PLC","Siemens","SafetyPLC-8278","2024-11-25","Overdue","2026-01-09","Medium"
"POW-006","Detroit Assembly","Powertrain","Quality Scanner","Rockwell","QualityScanner-8044","2025-03-02","Overdue","2025-11-08","Medium"
"POW-007","Detroit Assembly","Powertrain","Paint Robot","Rockwell","PaintRobot-9292","2025-03-25","Current","2026-01-01","Medium"
"POW-008","Detroit Assembly","Powertrain","Robot Controller","Fanuc","RobotController-4162","2024-11-13","Current","2026-01-18","Medium"
"POW-009","Detroit Assembly","Powertrain","SCADA System","ABB","SCADASystem-5809","2025-07-07","Current","2025-12-15","Medium"
"POW-010","Detroit Assembly","Powertrain","Conveyor Controller","ABB","ConveyorController-6775","2024-11-29","Current","2025-12-08","Medium"
"POW-012","Detroit Assembly","Powertrain","Welding Robot","ABB","WeldingRobot-7009","2024-12-21","Current","2025-12-30","Medium"
"POW-013","Detroit Assembly","Powertrain","Assembly Robot","Siemens","AssemblyRobot-3157","2025-09-09","Overdue","2025-12-10","Medium"
"POW-014","Detroit Assembly","Powertrain","Robot Controller","Rockwell","RobotController-7150","2025-09-07","Overdue","2025-12-31","Medium"
"POW-015","Detroit Assembly","Powertrain","Paint Controller","Rockwell","PaintController-7589","2025-08-06","Current","2025-12-06","Medium"
"POW-016","Detroit Assembly","Powertrain","Welding Controller","Rockwell","WeldingController-1740","2025-08-22","Current","2025-12-13","Medium"
"POW-017","Detroit Assembly","Powertrain","Assembly Robot","Siemens","AssemblyRobot-4054","2025-07-30","Current","2026-01-17","Medium"
"POW-018","Detroit Assembly","Powertrain","HMI Station","Rockwell","HMIStation-6543","2025-09-03","Current","2025-12-16","Medium"
"POW-019","Detroit Assembly","Powertrain","Paint Controller","ABB","PaintController-6168","2024-12-14","Current","2025-11-04","Medium"
"POW-020","Detroit Assembly","Powertrain","Safety PLC","Rockwell","SafetyPLC-2198","2025-09-27","Current","2025-12-14","Medium"
"QUA-001","Detroit Assembly","Quality Control","Welding Robot","ABB","WeldingRobot-1518","2025-01-25","Current","2026-01-20","High"
"QUA-003","Detroit Assembly","Quality Control","Welding Robot","ABB","WeldingRobot-7988","2025-02-20","Overdue","2026-01-16","High"
"QUA-004","Detroit Assembly","Quality Control","Robot Controller","ABB","RobotController-3993","2025-06-15","Overdue","2025-11-02","High"
"QUA-005","Detroit Assembly","Quality Control","Welding Controller","Fanuc","WeldingController-4742","2025-03-22","Current","2025-11-17","High"
"QUA-007","Detroit Assembly","Quality Control","Safety PLC","Siemens","SafetyPLC-4385","2025-08-16","Current","2025-12-07","High"
"QUA-008","Detroit Assembly","Quality Control","Robot Controller","KUKA","RobotController-4337","2024-12-20","Current","2025-11-12","High"
"QUA-009","Detroit Assembly","Quality Control","Safety PLC","Siemens","SafetyPLC-4021","2025-01-21","Current","2025-12-20","High"
"QUA-010","Detroit Assembly","Quality Control","HMI Station","ABB","HMIStation-9390","2024-12-07","Overdue","2025-10-30","High"
"QUA-013","Detroit Assembly","Quality Control","SCADA System","Rockwell","SCADASystem-4541","2025-01-16","Overdue","2025-11-22","High"
"QUA-014","Detroit Assembly","Quality Control","SCADA System","Rockwell","SCADASystem-6526","2025-09-02","Overdue","2025-11-22","High"
"QUA-016","Detroit Assembly","Quality Control","Welding Controller","Siemens","WeldingController-2224","2025-08-18","Current","2026-01-13","High"
"QUA-018","Detroit Assembly","Quality Control","SCADA System","Fanuc","SCADASystem-1825","2025-07-22","Overdue","2025-11-03","High"
"QUA-019","Detroit Assembly","Quality Control","Paint Controller","Siemens","PaintController-5628","2024-11-29","Current","2025-11-13","High"
"QUA-020","Detroit Assembly","Quality Control","Safety PLC","Siemens","SafetyPLC-9831","2025-07-14","Overdue","2025-10-28","High"
"QUA-021","Detroit Assembly","Quality Control","Conveyor Controller","ABB","ConveyorController-6505","2025-08-24","Current","2025-12-02","High"
"QUA-023","Detroit Assembly","Quality Control","Welding Robot","Fanuc","WeldingRobot-2910","2025-07-16","Overdue","2025-12-17","High"
"QUA-024","Detroit Assembly","Quality Control","Vision System","KUKA","VisionSystem-1339","2025-05-02","Current","2025-11-02","High"
"QUA-026","Detroit Assembly","Quality Control","Quality Scanner","Fanuc","QualityScanner-8908","2025-09-15","Overdue","2025-12-25","High"
"QUA-027","Detroit Assembly","Quality Control","Assembly Robot","ABB","AssemblyRobot-8514","2025-10-15","Current","2025-12-29","High"
"QUA-028","Detroit Assembly","Quality Control","Paint Controller","KUKA","PaintController-1994","2025-07-13","Current","2026-01-21","High"
"QUA-029","Detroit Assembly","Quality Control","Paint Controller","KUKA","PaintController-9852","2025-01-03","Current","2025-12-25","High"
"QUA-031","Detroit Assembly","Quality Control","Assembly Robot","ABB","AssemblyRobot-1811","2025-03-25","Overdue","2025-12-25","High"
"QUA-032","Detroit Assembly","Quality Control","Welding Controller","KUKA","WeldingController-8069","2025-08-05","Overdue","2025-10-30","High"
"QUA-033","Detroit Assembly","Quality Control","Robot Controller","Rockwell","RobotController-3124","2025-07-18","Overdue","2025-11-11","High"
"QUA-034","Detroit Assembly","Quality Control","Paint Robot","Siemens","PaintRobot-6440","2024-12-07","Overdue","2025-11-01","High"
"QUA-035","Detroit Assembly","Quality Control","Conveyor Controller","Fanuc","ConveyorController-3676","2025-07-19","Current","2025-11-18","High"
"QUA-036","Detroit Assembly","Quality Control","Assembly Robot","Siemens","AssemblyRobot-9559","2025-05-11","Overdue","2025-10-26","High"
"QUA-037","Detroit Assembly","Quality Control","Quality Scanner","KUKA","QualityScanner-1233","2025-01-29","Current","2025-11-30","High"
"QUA-038","Detroit Assembly","Quality Control","Paint Controller","ABB","PaintController-3394","2025-02-06","Current","2025-10-25","High"
"QUA-039","Detroit Assembly","Quality Control","Welding Robot","Siemens","WeldingRobot-7671","2025-05-29","Current","2025-11-18","High"
"QUA-040","Detroit Assembly","Quality Control","Welding Controller","KUKA","WeldingController-1270","2025-01-02","Current","2025-12-03","High"
"QUA-041","Detroit Assembly","Quality Control","Robot Controller","Siemens","RobotController-7004","2025-06-02","Current","2025-12-27","High"
"QUA-042","Detroit Assembly","Quality Control","Welding Robot","Siemens","WeldingRobot-1017","2025-01-10","Overdue","2026-01-04","High"
"QUA-044","Detroit Assembly","Quality Control","Conveyor Controller","Fanuc","ConveyorController-3049","2025-07-09","Overdue","2025-12-24","High"
"QUA-050","Detroit Assembly","Quality Control","Vision System","Siemens","VisionSystem-1981","2025-10-20","Overdue","2026-01-15","High"
"QUA-051","Detroit Assembly","Quality Control","Conveyor Controller","Siemens","ConveyorController-6136","2025-05-21","Current","2026-01-12","High"
"STA-001","Detroit Assembly","Stamping","Quality Scanner","KUKA","QualityScanner-3227","2025-06-02","Current","2025-12-22","Medium"
"STA-002","Detroit Assembly","Stamping","Assembly Robot","ABB","AssemblyRobot-7077","2025-03-15","Current","2026-01-01","Medium"
"STA-003","Detroit Assembly","Stamping","Safety PLC","Siemens","SafetyPLC-4297","2025-06-13","Overdue","2025-12-20","Medium"
"STA-004","Detroit Assembly","Stamping","Vision System","Rockwell","VisionSystem-9313","2024-11-11","Current","2026-01-01","Medium"
"STA-005","Detroit Assembly","Stamping","Robot Controller","Rockwell","RobotController-7055","2024-12-25","Current","2025-11-28","Medium"
"STA-006","Detroit Assembly","Stamping","Paint Controller","Fanuc","PaintController-1396","2025-07-27","Current","2026-01-21","Medium"
"STA-007","Detroit Assembly","Stamping","Welding Robot","KUKA","WeldingRobot-6243","2025-06-11","Current","2025-11-28","Medium"
"STA-008","Detroit Assembly","Stamping","Robot Controller","Siemens","RobotController-1241","2025-06-27","Current","2025-11-21","Medium"
"STA-009","Detroit Assembly","Stamping","Paint Robot","Siemens","PaintRobot-7297","2025-07-14","Overdue","2025-12-10","Medium"
"STA-010","Detroit Assembly","Stamping","SCADA System","Fanuc","SCADASystem-1749","2025-07-18","Current","2025-11-22","Medium"
"STA-012","Detroit Assembly","Stamping","HMI Station","Fanuc","HMIStation-7408","2025-06-06","Overdue","2026-01-16","Medium"
"STA-013","Detroit Assembly","Stamping","Assembly Robot","Rockwell","AssemblyRobot-2773","2025-03-17","Current","2025-11-08","Medium"
"STA-014","Detroit Assembly","Stamping","Robot Controller","ABB","RobotController-4165","2025-02-11","Current","2025-12-05","Medium"
"STA-018","Detroit Assembly","Stamping","HMI Station","Rockwell","HMIStation-8232","2025-07-08","Current","2025-11-01","Medium"
"STA-021","Detroit Assembly","Stamping","Quality Scanner","Rockwell","QualityScanner-4206","2025-02-19","Current","2025-11-27","Medium"
"STA-022","Detroit Assembly","Stamping","Welding Robot","ABB","WeldingRobot-3392","2025-09-19","Current","2025-11-03","Medium"
"STA-023","Detroit Assembly","Stamping","Paint Robot","ABB","PaintRobot-6236","2025-05-25","Overdue","2026-01-16","Medium"
"STA-024","Detroit Assembly","Stamping","Robot Controller","Rockwell","RobotController-4175","2025-01-14","Current","2026-01-04","Medium"
"STA-025","Detroit Assembly","Stamping","SCADA System","KUKA","SCADASystem-2953","2025-10-22","Current","2025-11-10","Medium"
"STA-026","Detroit Assembly","Stamping","SCADA System","Siemens","SCADASystem-2814","2025-03-25","Current","2025-12-31","Medium"
"STA-027","Detroit Assembly","Stamping","Paint Controller","Siemens","PaintController-5808","2025-02-28","Overdue","2025-11-25","Medium"
"STA-029","Detroit Assembly","Stamping","Welding Controller","ABB","WeldingController-2211","2025-03-26","Current","2025-11-10","Medium"
"STA-030","Detroit Assembly","Stamping","Conveyor Controller","ABB","ConveyorController-3076","2025-06-14","Current","2026-01-11","Medium"
"STA-032","Detroit Assembly","Stamping","Welding Controller","ABB","WeldingController-3031","2024-11-13","Current","2025-12-09","Medium"
"STA-033","Detroit Assembly","Stamping","HMI Station","KUKA","HMIStation-1181","2025-10-14","Current","2025-12-13","Medium"
"STA-034","Detroit Assembly","Stamping","Welding Robot","Siemens","WeldingRobot-4237","2025-08-31","Overdue","2025-11-16","Medium"
