asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality
"STA-035","Detroit Assembly","Stamping","Welding Robot","Rockwell","WeldingRobot-1774","2025-07-05","Current","2025-11-22","Medium"
"STA-037","Detroit Assembly","Stamping","Paint Controller","KUKA","PaintController-3477","2025-06-26","Current","2026-01-17","Medium"
"STA-038","Detroit Assembly","Stamping","Assembly Robot","Fanuc","AssemblyRobot-4918","2025-06-30","Current","2025-11-16","Medium"
"STA-039","Detroit Assembly","Stamping","Conveyor Controller","Rockwell","ConveyorController-3452","2024-11-01","Overdue","2025-12-15","Medium"
"STA-040","Detroit Assembly","Stamping","Paint Robot","Fanuc","PaintRobot-3762","2025-06-30","Current","2025-12-13","Medium"
"STA-041","Detroit Assembly","Stamping","SCADA System","Rockwell","SCADASystem-1100","2025-05-22","Current","2026-01-11","Medium"
"STA-042","Detroit Assembly","Stamping","Paint Controller","Fanuc","PaintController-9944","2025-06-15","Current","2025-12-27","Medium"
"STA-043","Detroit Assembly","Stamping","Safety PLC","ABB","SafetyPLC-3230","2025-01-03","Current","2025-12-09","Medium"
"STA-044","Detroit Assembly","Stamping","Welding Robot","KUKA","WeldingRobot-6378","2025-03-29","Current","2025-12-18","Medium"
"STA-045","Detroit Assembly","Stamping","Vision System","Siemens","VisionSystem-5552","2024-11-24","Current","2025-12-18","Medium"
"STA-046","Detroit Assembly","Stamping","Quality Scanner","ABB","QualityScanner-1021","2025-01-11","Current","2026-01-08","Medium"
"STA-047","Detroit Assembly","Stamping","SCADA System","Rockwell","SCADASystem-2680","2025-09-30","Current","2025-11-02","Medium"
"STA-048","Detroit Assembly","Stamping","Conveyor Controller","ABB","ConveyorController-3089","2025-04-14","Current","2026-01-15","Medium"
"STA-049","Detroit Assembly","Stamping","Paint Robot","Siemens","PaintRobot-5658","2025-02-25","Current","2025-11-03","Medium"
"STA-050","Detroit Assembly","Stamping","Conveyor Controller","Fanuc","ConveyorController-5868","2025-06-11","Current","2025-11-01","Medium"
"STA-051","Detroit Assembly","Stamping","Quality Scanner","Siemens","QualityScanner-1250","2024-11-09","Current","2025-11-17","Medium"
"BOD-002","Kentucky Assembly","Body Shop","Welding Controller","Fanuc","WeldingController-8312","2025-04-04","Current","2025-12-17","Critical"
"BOD-003","Kentucky Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-3779","2025-02-15","Overdue","2025-11-27","Critical"
"BOD-004","Kentucky Assembly","Body Shop","Paint Controller","Siemens","PaintController-6006","2025-08-21","Current","2026-01-21","Critical"
"BOD-005","Kentucky Assembly","Body Shop","Paint Controller","ABB","PaintController-2626","2025-04-23","Current","2026-01-14","Critical"
"BOD-006","Kentucky Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-1207","2025-03-28","Overdue","2026-01-13","Critical"
"BOD-008","Kentucky Assembly","Body Shop","Safety PLC","Fanuc","SafetyPLC-1441","2025-07-02","Current","2025-11-25","Critical"
"BOD-010","Kentucky Assembly","Body Shop","Vision System","ABB","VisionSystem-7567","2025-04-22","Current","2025-11-11","Critical"
"BOD-011","Kentucky Assembly","Body Shop","Paint Robot","KUKA","PaintRobot-9143","2024-12-08","Overdue","2025-12-12","Critical"
"BOD-012","Kentucky Assembly","Body Shop","Conveyor Controller","KUKA","ConveyorController-8663","2025-01-27","Current","2025-11-01","Critical"
"BOD-013","Kentucky Assembly","Body Shop","HMI Station","KUKA","HMIStation-1291","2025-03-31","Current","2025-12-28","Critical"
"BOD-016","Kentucky Assembly","Body Shop","Vision System","Rockwell","VisionSystem-5732","2024-12-19","Current","2026-01-01","Critical"
"BOD-018","Kentucky Assembly","Body Shop","HMI Station","Fanuc","HMIStation-5540","2025-06-04","Current","2025-12-04","Critical"
"BOD-019","Kentucky Assembly","Body Shop","HMI Station","Fanuc","HMIStation-6313","2025-06-02","Current","2025-11-09","Critical"
"BOD-021","Kentucky Assembly","Body Shop","Welding Controller","ABB","WeldingController-4067","2025-01-14","Overdue","2025-12-17","Critical"
"BOD-023","Kentucky Assembly","Body Shop","Conveyor Controller","Siemens","ConveyorController-2576","2025-09-21","Overdue","2025-10-30","Critical"
"BOD-024","Kentucky Assembly","Body Shop","Safety PLC","Fanuc","SafetyPLC-6972","2025-04-16","Current","2025-11-27","Critical"
"BOD-026","Kentucky Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-7003","2025-08-20","Current","2025-12-24","Critical"
"BOD-027","Kentucky Assembly","Body Shop","Robot Controller","KUKA","RobotController-5215","2025-10-07","Current","2026-01-15","Critical"
"PAI-001","Kentucky Assembly","Paint Shop","SCADA System","ABB","SCADASystem-8849","2025-02-16","Overdue","2025-12-09","Critical"
"PAI-002","Kentucky Assembly","Paint Shop","Welding Robot","ABB","WeldingRobot-1366","2025-03-26","Current","2025-11-26","Critical"
"PAI-003","Kentucky Assembly","Paint Shop","Welding Robot","KUKA","WeldingRobot-2506","2025-03-17","Overdue","2025-12-25","Critical"
"PAI-004","Kentucky Assembly","Paint Shop","Welding Controller","KUKA","WeldingController-8341","2025-08-24","Current","2025-11-17","Critical"
"PAI-005","Kentucky Assembly","Paint Shop","Safety PLC","Rockwell","SafetyPLC-4552","2025-01-17","Current","2025-12-25","Critical"
"PAI-006","Kentucky Assembly","Paint Shop","HMI Station","ABB","HMIStation-5632","2025-08-21","Current","2026-01-01","Critical"
"PAI-007","Kentucky Assembly","Paint Shop","Paint Controller","Siemens","PaintController-5048","2025-07-27","Overdue","2025-11-15","Critical"
"PAI-008","Kentucky Assembly","Paint Shop","SCADA System","KUKA","SCADASystem-1368","2025-01-03","Overdue","2025-10-29","Critical"
"PAI-009","Kentucky Assembly","Paint Shop","Conveyor Controller","KUKA","ConveyorController-6268","2025-07-09","Overdue","2025-12-09","Critical"
"PAI-010","Kentucky Assembly","Paint Shop","Conveyor Controller","Rockwell","ConveyorController-1534","2025-09-02","Overdue","2025-12-17","Critical"
"PAI-011","Kentucky Assembly","Paint Shop","Welding Controller","Rockwell","WeldingController-2336","2025-05-31","Current","2025-12-02","Critical"
"PAI-013","Kentucky Assembly","Paint Shop","Conveyor Controller","ABB","ConveyorController-4127","2025-09-15","Overdue","2026-01-09","Critical"
"PAI-015","Kentucky Assembly","Paint Shop","Quality Scanner","Siemens","QualityScanner-9171","2024-11-22","Overdue","2025-11-07","Critical"
"PAI-017","Kentucky Assembly","Paint Shop","Paint Robot","Siemens","PaintRobot-7163","2025-09-04","Current","2026-01-06","Critical"
"PAI-018","Kentucky Assembly","Paint Shop","Paint Controller","KUKA","PaintController-7639","2024-12-29","Overdue","2025-12-19","Critical"
"PAI-019","Kentucky Assembly","Paint Shop","Welding Robot","ABB","WeldingRobot-3278","2024-11-08","Current","2025-12-04","Critical"
"PAI-020","Kentucky Assembly","Paint Shop","SCADA System","Fanuc","SCADASystem-2104","2025-07-03","Current","2025-12-28","Critical"
"PAI-021","Kentucky Assembly","Paint Shop","Paint Controller","ABB","PaintController-2765","2025-02-09","Current","2025-11-03","Critical"
"PAI-022","Kentucky Assembly","Paint Shop","Safety PLC","KUKA","SafetyPLC-5699","2024-12-31","Current","2026-01-03","Critical"
"PAI-023","Kentucky Assembly","Paint Shop","Quality Scanner","KUKA","QualityScanner-2903","2025-08-11","Current","2026-01-01","Critical"
"PAI-024","Kentucky Assembly","Paint Shop","Paint Robot","Fanuc","PaintRobot-2540","2025-05-12","Current","2025-12-08","Critical"
"PAI-025","Kentucky Assembly","Paint Shop","Welding Robot","Rockwell","WeldingRobot-4746","2025-02-23","Overdue","2026-01-06","Critical"
"PAI-026","Kentucky Assembly","Paint Shop","Welding Robot","ABB","WeldingRobot-2772","2025-04-04","Current","2025-10-28","Critical"
"PAI-027","Kentucky Assembly","Paint Shop","Paint Controller","Fanuc","PaintController-7888","2025-01-20","Current","2025-12-22","Critical"
"PAI-029","Kentucky Assembly","Paint Shop","Welding Robot","KUKA","WeldingRobot-7452","2025-08-09","Overdue","2025-12-17","Critical"
"PAI-030","Kentucky Assembly","Paint Shop","SCADA System","Siemens","SCADASystem-6327","2025-04-12","Current","2025-12-12","Critical"
"PAI-031","Kentucky Assembly","Paint Shop","Quality Scanner","ABB","QualityScanner-8052","2024-11-05","Current","2025-11-09","Critical"
"ASS-001","Kentucky Assembly","Assembly Line","Welding Robot","Rockwell","WeldingRobot-1497","2025-07-04","Overdue","2025-11-13","Critical"
"ASS-002","Kentucky Assembly","Assembly Line","Robot Controller","ABB","RobotController-3892","2025-08-16","Overdue","2025-11-13","Critical"
"ASS-003","Kentucky Assembly","Assembly Line","Welding Robot","ABB","WeldingRobot-6260","2025-06-26","Current","2025-11-22","Critical"
"ASS-004","Kentucky Assembly","Assembly Line","Conveyor Controller","Siemens","ConveyorController-5674","2025-04-03","Current","2025-12-04","Critical"
"ASS-006","Kentucky Assembly","Assembly Line","Conveyor Controller","KUKA","ConveyorController-3147","2025-03-17","Current","2025-11-12","Critical"
"ASS-007","Kentucky Assembly","Assembly Line","Vision System","Fanuc","VisionSystem-6038","2024-12-24","Current","2025-11-20","Critical"
"ASS-008","Kentucky Assembly","Assembly Line","Conveyor Controller","ABB","ConveyorController-4314","2025-04-16","Current","2025-12-05","Critical"
"ASS-009","Kentucky Assembly","Assembly Line","SCADA System","Fanuc","SCADASystem-5148","2025-03-28","Current","2026-01-09","Critical"
"ASS-011","Kentucky Assembly","Assembly Line","Welding Controller","KUKA","WeldingController-4564","2025-03-16","Current","2025-12-21","Critical"
"ASS-012","Kentucky Assembly","Assembly Line","SCADA System","ABB","SCADASystem-8272","2024-12-29","Current","2026-01-10","Critical"
"ASS-013","Kentucky Assembly","Assembly Line","Paint Controller","KUKA","PaintController-1499","2025-09-11","Current","2025-11-14","Critical"
"ASS-014","Kentucky Assembly","Assembly Line","Robot Controller","KUKA","RobotController-8360","2024-11-17","Overdue","2025-11-16","Critical"
"ASS-015","Kentucky Assembly","Assembly Line","Quality Scanner","Siemens","QualityScanner-8227","2025-03-15","Overdue","2025-12-19","Critical"
"ASS-016","Kentucky Assembly","Assembly Line","Paint Controller","Siemens","PaintController-5887","2025-04-26","Overdue","2026-01-03","Critical"
"ASS-017","Kentucky Assembly","Assembly Line","Conveyor Controller","KUKA","ConveyorController-6256","2024-12-17","Overdue","2026-01-06","Critical"
"ASS-019","Kentucky Assembly","Assembly Line","Vision System","Fanuc","VisionSystem-2970","2025-03-04","Current","2025-12-22","Critical"
"ASS-022","Kentucky Assembly","Assembly Line","Conveyor Controller","Siemens","ConveyorController-2192","2024-12-12","Overdue","2025-11-04","Critical"
"ASS-023","Kentucky Assembly","Assembly Line","HMI Station","Siemens","HMIStation-4438","2025-09-14","Overdue","2025-10-25","Critical"
"ASS-024","Kentucky Assembly","Assembly Line","Robot Controller","KUKA","RobotController-5488","2025-03-31","Current","2025-10-25","Critical"
"ASS-025","Kentucky Assembly","Assembly Line","Robot Controller","Rockwell","RobotController-5977","2024-12-24","Current","2025-12-29","Critical"
"ASS-026","Kentucky Assembly","Assembly Line","HMI Station","KUKA","HMIStation-5262","2024-10-30","Current","2025-11-13","Critical"
"ASS-027","Kentucky Assembly","Assembly Line","Assembly Robot","Fanuc","AssemblyRobot-5778","2024-11-27","Current","2025-12-05","Critical"
"ASS-028","Kentucky Assembly","Assembly Line","SCADA System","Rockwell","SCADASystem-8073","2025-02-04","Current","2025-11-01","Critical"
"ASS-029","Kentucky Assembly","Assembly Line","Assembly Robot","ABB","AssemblyRobot-1556","2025-10-23","Current","2025-12-11","Critical"
"ASS-030","Kentucky Assembly","Assembly Line","HMI Station","KUKA","HMIStation-4360","2025-03-09","Current","2025-11-15","Critical"
"ASS-032","Kentucky Assembly","Assembly Line","Vision System","KUKA","VisionSystem-9902","2025-08-18","Overdue","2025-11-20","Critical"
"ASS-033","Kentucky Assembly","Assembly Line","Conveyor Controller","Rockwell","ConveyorController-8513","2025-08-29","Overdue","2026-01-19","Critical"
"POW-001","Kentucky Assembly","Powertrain","Quality Scanner","ABB","QualityScanner-7489","2025-08-31","Current","2025-12-06","Medium"
"POW-002","Kentucky Assembly","Powertrain","Paint Controller","Siemens","PaintController-9317","2025-09-15","Current","2025-12-12","Medium"
"POW-003","Kentucky Assembly","Powertrain","Assembly Robot","Fanuc","AssemblyRobot-5821","2025-07-13","Overdue","2025-12-08","Medium"
"POW-004","Kentucky Assembly","Powertrain","Conveyor Controller","Rockwell","ConveyorController-9314","2025-07-07","Current","2025-12-01","Medium"
"POW-005","Kentucky Assembly","Powertrain","Assembly Robot","ABB","AssemblyRobot-2776","2025-04-15","Current","2025-10-30","Medium"
"POW-006","Kentucky Assembly","Powertrain","SCADA System","Fanuc","SCADASystem-3934","2025-04-14","Overdue","2025-10-26","Medium"
"POW-007","Kentucky Assembly","Powertrain","Assembly Robot","Fanuc","AssemblyRobot-4339","2025-06-25","Current","2025-11-16","Medium"
"POW-009","Kentucky Assembly","Powertrain","Welding Robot","Rockwell","WeldingRobot-7626","2025-08-04","Current","2025-12-19","Medium"
"POW-010","Kentucky Assembly","Powertrain","Robot Controller","Siemens","RobotController-7990","2024-11-04","Current","2025-11-25","Medium"
"POW-013","Kentucky Assembly","Powertrain","Safety PLC","KUKA","SafetyPLC-9488","2024-12-28","Current","2025-12-19","Medium"
"POW-014","Kentucky Assembly","Powertrain","Paint Controller","Fanuc","PaintController-3298","2025-02-19","Current","2025-11-25","Medium"
"POW-015","Kentucky Assembly","Powertrain","Paint Controller","KUKA","PaintController-7606","2025-07-24","Current","2025-11-30","Medium"
"POW-016","Kentucky Assembly","Powertrain","Assembly Robot","Fanuc","AssemblyRobot-2971","2024-12-28","Overdue","2025-10-26","Medium"
"POW-017","Kentucky Assembly","Powertrain","Quality Scanner","KUKA","QualityScanner-1407","2024-10-30","Overdue","2025-12-22","Medium"
"POW-018","Kentucky Assembly","Powertrain","Quality Scanner","Siemens","QualityScanner-1983","2025-08-06","Current","2025-11-08","Medium"
"POW-019","Kentucky Assembly","Powertrain","HMI Station","ABB","HMIStation-9497","2025-04-17","Overdue","2025-12-15","Medium"
"POW-020","Kentucky Assembly","Powertrain","Welding Robot","KUKA","WeldingRobot-6348","2025-02-13","Current","2025-12-30","Medium"
"QUA-001","Kentucky Assembly","Quality Control","Conveyor Controller","Fanuc","ConveyorController-7076","2025-01-31","Current","2025-11-22","High"
"QUA-002","Kentucky Assembly","Quality Control","Paint Robot","Fanuc","PaintRobot-4600","2025-08-06","Overdue","2025-12-07","High"
"QUA-005","Kentucky Assembly","Quality Control","Welding Controller","Fanuc","WeldingController-5446","2025-03-01","Current","2026-01-01","High"
"QUA-006","Kentucky Assembly","Quality Control","Welding Robot","ABB","WeldingRobot-8167","2025-02-19","Current","2025-11-09","High"
"QUA-007","Kentucky Assembly","Quality Control","Welding Controller","Rockwell","WeldingController-2377","2025-07-17","Overdue","2025-11-10","High"
"QUA-008","Kentucky Assembly","Quality Control","Paint Robot","Fanuc","PaintRobot-4008","2025-09-19","Current","2025-12-25","High"
"QUA-009","Kentucky Assembly","Quality Control","Vision System","Rockwell","VisionSystem-3440","2025-04-28","Current","2026-01-07","High"
"QUA-010","Kentucky Assembly","Quality Control","Vision System","Rockwell","VisionSystem-9488","2025-05-20","Current","2025-10-28","High"
"QUA-011","Kentucky Assembly","Quality Control","Vision System","Siemens","VisionSystem-7712","2025-05-29","Current","2025-12-26","High"
"QUA-014","Kentucky Assembly","Quality Control","SCADA System","Rockwell","SCADASystem-6962","2025-09-01","Current","2025-11-21","High"
"QUA-015","Kentucky Assembly","Quality Control","HMI Station","Rockwell","HMIStation-3192","2024-11-28","Current","2025-12-07","High"
"QUA-018","Kentucky Assembly","Quality Control","Vision System","Fanuc","VisionSystem-6006","2024-12-25","Current","2025-12-14","High"
"QUA-019","Kentucky Assembly","Quality Control","Quality Scanner","ABB","QualityScanner-9836","2025-10-06","Current","2026-01-07","High"
"QUA-020","Kentucky Assembly","Quality Control","Welding Robot","KUKA","WeldingRobot-1353","2025-03-23","Overdue","2026-01-13","High"
"QUA-021","Kentucky Assembly","Quality Control","Vision System","ABB","VisionSystem-7741","2025-03-13","Current","2026-01-07","High"
"QUA-022","Kentucky Assembly","Quality Control","Welding Robot","KUKA","WeldingRobot-4666","2024-12-13","Current","2026-01-09","High"
"QUA-023","Kentucky Assembly","Quality Control","Assembly Robot","Rockwell","AssemblyRobot-8947","2025-07-13","Current","2025-11-24","High"
"QUA-024","Kentucky Assembly","Quality Control","Welding Robot","Fanuc","WeldingRobot-2274","2025-05-05","Current","2025-11-26","High"
"QUA-025","Kentucky Assembly","Quality Control","Quality Scanner","ABB","QualityScanner-3402","2025-06-12","Overdue","2025-12-22","High"
"QUA-026","Kentucky Assembly","Quality Control","HMI Station","KUKA","HMIStation-8686","2025-06-20","Current","2025-11-23","High"
"STA-001","Kentucky Assembly","Stamping","Conveyor Controller","KUKA","ConveyorController-2119","2025-09-18","Current","2026-01-04","Medium"
"STA-003","Kentucky Assembly","Stamping","Conveyor Controller","KUKA","ConveyorController-6966","2025-01-08","Overdue","2026-01-21","Medium"
"STA-005","Kentucky Assembly","Stamping","Assembly Robot","KUKA","AssemblyRobot-8666","2024-12-29","Current","2026-01-07","Medium"
"STA-007","Kentucky Assembly","Stamping","Vision System","Siemens","VisionSystem-2649","2024-11-24","Current","2025-10-26","Medium"
"STA-008","Kentucky Assembly","Stamping","Assembly Robot","KUKA","AssemblyRobot-2934","2025-02-22","Overdue","2025-12-27","Medium"
"STA-009","Kentucky Assembly","Stamping","HMI Station","Siemens","HMIStation-4523","2025-05-13","Overdue","2025-11-03","Medium"
"STA-010","Kentucky Assembly","Stamping","Quality Scanner","Siemens","QualityScanner-5982","2025-02-05","Current","2025-12-08","Medium"
"STA-011","Kentucky Assembly","Stamping","Conveyor Controller","ABB","ConveyorController-1470","2025-05-03","Current","2025-12-15","Medium"
"STA-013","Kentucky Assembly","Stamping","Conveyor Controller","Siemens","ConveyorController-4353","2024-11-10","Current","2025-12-01","Medium"
"STA-014","Kentucky Assembly","Stamping","HMI Station","ABB","HMIStation-8785","2025-01-02","Current","2025-12-09","Medium"
"STA-015","Kentucky Assembly","Stamping","Quality Scanner","KUKA","QualityScanner-4242","2025-06-07","Current","2025-10-30","Medium"
"STA-017","Kentucky Assembly","Stamping","Vision System","Fanuc","VisionSystem-5814","2025-03-14","Current","2025-11-02","Medium"
"STA-018","Kentucky Assembly","Stamping","Safety PLC","Rockwell","SafetyPLC-6776","2025-02-05","Current","2025-12-27","Medium"
"STA-019","Kentucky Assembly","Stamping","Paint Controller","Siemens","PaintController-5126","2024-12-22","Current","2026-01-01","Medium"
"STA-020","Kentucky Assembly","Stamping","Paint Robot","ABB","PaintRobot-2545","2025-01-05","Current","2025-11-30","Medium"
"STA-021","Kentucky Assembly","Stamping","Welding Robot","ABB","WeldingRobot-5998","2025-05-12","Current","2025-10-28","Medium"
"STA-022","Kentucky Assembly","Stamping","Paint Controller","Rockwell","PaintController-9992","2025-05-10","Current","2026-01-10","Medium"
"STA-023","Kentucky Assembly","Stamping","Assembly Robot","Siemens","AssemblyRobot-8793","2025-08-19","Current","2025-12-07","Medium"
"STA-024","Kentucky Assembly","Stamping","Welding Controller","Fanuc","WeldingController-1194","2025-07-18","Current","2025-12-10","Medium"
"STA-025","Kentucky Assembly","Stamping","Quality Scanner","Fanuc","QualityScanner-5132","2024-12-07","Current","2025-10-31","Medium"
"STA-026","Kentucky Assembly","Stamping","Quality Scanner","Siemens","QualityScanner-3891","2024-12-29","Current","2025-12-07","Medium"
"STA-027","Kentucky Assembly","Stamping","Quality Scanner","ABB","QualityScanner-1945","2025-01-12","Overdue","2025-11-30","Medium"
"STA-028","Kentucky Assembly","Stamping","Quality Scanner","Rockwell","QualityScanner-5946","2025-04-18","Current","2025-10-31","Medium"
"STA-029","Kentucky Assembly","Stamping","Robot Controller","Siemens","RobotController-3616","2025-06-04","Current","2025-12-17","Medium"
"STA-030","Kentucky Assembly","Stamping","Robot Controller","Fanuc","RobotController-3586","2025-05-16","Current","2026-01-21","Medium"
"STA-031","Kentucky Assembly","Stamping","Safety PLC","Siemens","SafetyPLC-3690","2025-03-29","Current","2026-01-07","Medium"
"STA-032","Kentucky Assembly","Stamping","Welding Controller","Fanuc","WeldingController-9945","2025-07-20","Current","2025-12-12","Medium"
"STA-033","Kentucky Assembly","Stamping","SCADA System","Fanuc","SCADASystem-8228","2024-12-28","Current","2026-01-13","Medium"
"STA-034","Kentucky Assembly","Stamping","Conveyor Controller","Siemens","ConveyorController-1602","2025-07-04","Overdue","2025-11-18","Medium"
"STA-036","Kentucky Assembly","Stamping","Safety PLC","KUKA","SafetyPLC-1542","2025-09-13","Overdue","2025-11-29","Medium"
"STA-037","Kentucky Assembly","Stamping","Welding Controller","Rockwell","WeldingController-8604","2025-04-03","Overdue","2026-01-01","Medium"
"STA-038","Kentucky Assembly","Stamping","SCADA System","Rockwell","SCADASystem-1607","2025-08-25","Overdue","2026-01-14","Medium"
"STA-039","Kentucky Assembly","Stamping","Paint Controller","KUKA","PaintController-9339","2025-10-16","Current","2025-11-21","Medium"
"BOD-001","Texas Assembly","Body Shop","Welding Controller","ABB","WeldingController-3549","2025-09-04","Current","2025-10-28","Critical"
"BOD-002","Texas Assembly","Body Shop","Vision System","Siemens","VisionSystem-6065","2025-08-21","Current","2025-12-11","Critical"
"BOD-003","Texas Assembly","Body Shop","SCADA System","Siemens","SCADASystem-8988","2025-08-15","Current","2025-11-10","Critical"
"BOD-004","Texas Assembly","Body Shop","Robot Controller","ABB","RobotController-2649","2025-09-14","Overdue","2026-01-02","Critical"
"BOD-005","Texas Assembly","Body Shop","Welding Controller","Fanuc","WeldingController-5241","2025-03-27","Overdue","2026-01-10","Critical"
"BOD-006","Texas Assembly","Body Shop","SCADA System","Rockwell","SCADASystem-5088","2025-02-02","Overdue","2026-01-06","Critical"
"BOD-007","Texas Assembly","Body Shop","Paint Robot","ABB","PaintRobot-3608","2025-03-26","Current","2025-10-29","Critical"
"BOD-008","Texas Assembly","Body Shop","Vision System","Siemens","VisionSystem-6618","2025-02-07","Current","2025-12-14","Critical"
"BOD-009","Texas Assembly","Body Shop","Paint Robot","KUKA","PaintRobot-5656","2025-08-23","Current","2026-01-12","Critical"
"BOD-010","Texas Assembly","Body Shop","Robot Controller","Fanuc","RobotController-4161","2025-06-03","Current","2025-11-07","Critical"
"BOD-011","Texas Assembly","Body Shop","Welding Controller","KUKA","WeldingController-3342","2025-08-26","Current","2025-11-16","Critical"
"BOD-013","Texas Assembly","Body Shop","Paint Robot","Siemens","PaintRobot-4127","2024-11-18","Current","2026-01-10","Critical"
"BOD-016","Texas Assembly","Body Shop","Welding Robot","Fanuc","WeldingRobot-1879","2025-04-03","Current","2025-12-14","Critical"
"BOD-017","Texas Assembly","Body Shop","Assembly Robot","Siemens","AssemblyRobot-4387","2025-08-31","Current","2026-01-19","Critical"
"BOD-018","Texas Assembly","Body Shop","Conveyor Controller","Rockwell","ConveyorController-9687","2025-03-14","Current","2025-10-26","Critical"
"BOD-019","Texas Assembly","Body Shop","Assembly Robot","Siemens","AssemblyRobot-1650","2025-10-20","Current","2025-11-18","Critical"
"BOD-020","Texas Assembly","Body Shop","Assembly Robot","Siemens","AssemblyRobot-9269","2024-12-26","Overdue","2025-11-17","Critical"
"BOD-021","Texas Assembly","Body Shop","Assembly Robot","Rockwell","AssemblyRobot-9802","2025-01-06","Current","2025-11-07","Critical"
"BOD-023","Texas Assembly","Body Shop","Quality Scanner","ABB","QualityScanner-1869","2024-11-18","Overdue","2025-10-29","Critical"
"BOD-024","Texas Assembly","Body Shop","Quality Scanner","ABB","QualityScanner-9735","2025-09-23","Current","2025-11-15","Critical"
"BOD-025","Texas Assembly","Body Shop","HMI Station","KUKA","HMIStation-5058","2025-01-10","Overdue","2025-11-20","Critical"
"BOD-026","Texas Assembly","Body Shop","Paint Controller","ABB","PaintController-8040","2025-07-17","Current","2025-11-18","Critical"
"BOD-027","Texas Assembly","Body Shop","Paint Controller","KUKA","PaintController-2107","2024-12-21","Current","2025-11-05","Critical"
"BOD-028","Texas Assembly","Body Shop","Welding Robot","Siemens","WeldingRobot-7595","2025-08-18","Overdue","2025-10-28","Critical"
"BOD-029","Texas Assembly","Body Shop","Paint Robot","ABB","PaintRobot-1204","2025-06-16","Current","2025-10-31","Critical"
"BOD-030","Texas Assembly","Body Shop","Welding Robot","KUKA","WeldingRobot-5303","2025-09-25","Current","2025-11-23","Critical"
"BOD-031","Texas Assembly","Body Shop","Safety PLC","Rockwell","SafetyPLC-9267","2025-04-05","Current","2025-12-19","Critical"
"BOD-032","Texas Assembly","Body Shop","Paint Robot","Fanuc","PaintRobot-8073","2025-04-11","Overdue","2025-12-16","Critical"
"BOD-033","Texas Assembly","Body Shop","Assembly Robot","Siemens","AssemblyRobot-6010","2025-07-05","Current","2025-11-15","Critical"
"BOD-034","Texas Assembly","Body Shop","Robot Controller","KUKA","RobotController-3778","2025-02-13","Current","2025-12-10","Critical"
"BOD-038","Texas Assembly","Body Shop","Paint Robot","KUKA","PaintRobot-6550","2024-12-31","Current","2025-12-18","Critical"
"BOD-039","Texas Assembly","Body Shop","Welding Robot","KUKA","WeldingRobot-6585","2025-07-24","Overdue","2025-11-04","Critical"
"BOD-040","Texas Assembly","Body Shop","Welding Controller","Siemens","WeldingController-8980","2025-05-19","Current","2025-11-08","Critical"
"BOD-041","Texas Assembly","Body Shop","Welding Controller","Rockwell","WeldingController-1028","2025-08-17","Current","2026-01-18","Critical"
"BOD-042","Texas Assembly","Body Shop","Paint Controller","ABB","PaintController-7406","2025-10-01","Current","2025-12-08","Critical"
"BOD-043","Texas Assembly","Body Shop","Assembly Robot","Fanuc","AssemblyRobot-9367","2025-07-17","Current","2025-10-30","Critical"
